Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction Number,Amount
Department of Health,NHS South East London CCG,30/09/2020,C&M-GMS Other Delivery,PRC DELEGATED CO-COMMISSIONING,NHS ENGLAND,33720319,"166,801.02"
Department of Health,NHS South East London CCG,30/09/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,BONDCARE LONDON,33734772,"-25,275.79"
Department of Health,NHS South East London CCG,30/09/2020,C&M-APMS LES Caretaking Payments,PRC DELEGATED CO-COMMISSIONING,BROMLEY GP ALLIANCE,33734792,"81,751.14"
Department of Health,NHS South East London CCG,30/09/2020,Cont Care- Adult Joint Funded,ADULT JOINT FUNDED CONTINUING CARE,ROYAL HOSPITAL FOR NEURO DISABILITY,33734868,"11,526.55"
Department of Health,NHS South East London CCG,30/09/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,ROYAL HOSPITAL FOR NEURO DISABILITY,33734868,"11,613.00"
Department of Health,NHS South East London CCG,30/09/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,ROYAL HOSPITAL FOR NEURO DISABILITY,33734868,"16,722.29"
Department of Health,NHS South East London CCG,30/09/2020,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,ROYAL HOSPITAL FOR NEURO DISABILITY,33734868,"88,689.71"
Department of Health,NHS South East London CCG,30/09/2020,Cont Care-Physical Disab (<65),CLINICAL ASSESSMENT AND TREATMENT CENTRES,ROYAL HOSPITAL FOR NEURO DISABILITY,33734868,"6,566.64"
Department of Health,NHS South East London CCG,30/09/2020,Clinical&Medical-Commercial Sector,MATERNITY SERVICES,MARIE STOPES INTERNATIONAL,33734879,"46,534.44"
Department of Health,NHS South East London CCG,30/09/2020,Clinical&Medical-Voluntary Sector,CHILD AND ADOLESCENT MENTAL HEALTH,Y BROMLEY,33734922,"100,000.00"
Department of Health,NHS South East London CCG,30/09/2020,Clinical&Medical-Voluntary Sector,CHILD AND ADOLESCENT MENTAL HEALTH,Y BROMLEY,33734924,"91,349.00"
Department of Health,NHS South East London CCG,30/09/2020,Clinical&Medical-Voluntary Sector,CHILD AND ADOLESCENT MENTAL HEALTH,Y BROMLEY,33734925,"96,467.00"
Department of Health,NHS South East London CCG,30/09/2020,Cont Care- Palliative Care,CLINICAL ASSESSMENT AND TREATMENT CENTRES,HC ONE LTD,33734964,"13,287.00"
Department of Health,NHS South East London CCG,30/09/2020,Cont Care-Funded Nursing Care Allow,CLINICAL ASSESSMENT AND TREATMENT CENTRES,HC ONE LTD,33734964,"15,790.79"
Department of Health,NHS South East London CCG,30/09/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HC ONE LTD,33734964,"61,743.31"
Department of Health,NHS South East London CCG,30/09/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,HC ONE LTD,33734964,"8,908.00"
Department of Health,NHS South East London CCG,30/09/2020,Cont Care-Physical Disab (65+),CLINICAL ASSESSMENT AND TREATMENT CENTRES,HC ONE LTD,33734964,"12,752.00"
Department of Health,NHS South East London CCG,30/09/2020,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NORTHWOOD GROUP PRACTICE,33735109,"70,062.50"
Department of Health,NHS South East London CCG,30/09/2020,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,THORNBURY NURSING SERVICES,33735114,"25,523.34"
Department of Health,NHS South East London CCG,30/09/2020,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NORTHWOOD GROUP PRACTICE,33735116,"70,062.50"
Department of Health,NHS South East London CCG,30/09/2020,Soc Care-Community Equp&Adaptations,COMMUNITY SERVICES,ROYAL BOROUGH OF GREENWICH,33735125,"126,827.44"
Department of Health,NHS South East London CCG,30/09/2020,Clinical&Medical-Independent Sector - Contract Baseline,COMMUNITY SERVICES,BRYMORE HOUSE,33737548,"94,889.15"
Department of Health,NHS South East London CCG,30/09/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,COLOMA COURT CARE HOME,33741397,"32,268.06"
Department of Health,NHS South East London CCG,30/09/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,MISSION CARE,33741485,"33,762.33"
Department of Health,NHS South East London CCG,30/09/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,MISSION CARE,33741487,"34,681.95"
Department of Health,NHS South East London CCG,30/09/2020,Hcare Srv Rec NHS Trust-Prior Year,GENERAL RESERVE - PROGRAMME,LEWISHAM & GREENWICH NHS TRUST,33743179,"47,627.00"
Department of Health,NHS South East London CCG,30/09/2020,Hcare Srv Rec NHS Trust-Prior Year,GENERAL RESERVE - PROGRAMME,LEWISHAM & GREENWICH NHS TRUST,33743188,"42,846.00"
Department of Health,NHS South East London CCG,30/09/2020,Clinical&Medical-Independent Sector - Prior Year,PROGRAMME PROJECTS,ST JOHN AMBULANCE,33746225,"-46,280.00"
Department of Health,NHS South East London CCG,30/09/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,CYGNET HEALTHCARE LTD,33746245,"36,224.00"
Department of Health,NHS South East London CCG,30/09/2020,Clinical&Medical-Othe Public Sector,REABLEMENT,LONDON BOROUGH OF LAMBETH,33746352,"1,531,174.00"
Department of Health,NHS South East London CCG,30/09/2020,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,DEVON & CORNWALL AUTISTIC COMMUNITY TRUST,33756649,"35,171.71"
Department of Health,NHS South East London CCG,30/09/2020,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,CYGNET (DH) LTD,33756715,"30,659.00"
Department of Health,NHS South East London CCG,30/09/2020,Cont Care-Physical Disab (<65),CHC AD FULL FUND PERS HLTH BUD,VIBRANCE,33762841,"200,990.40"
Department of Health,NHS South East London CCG,30/09/2020,Miscellaneous Expenditure (L9),CLINICAL ASSESSMENT AND TREATMENT CENTRES,BEXLEY HEALTH NEIGHBOURHOOD CARE CIC,33766529,"41,362.27"
Department of Health,NHS South East London CCG,30/09/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,BONDCARE LONDON,33766586,"25,275.79"
Department of Health,NHS South East London CCG,30/09/2020,Hcare Srv Rec NHS Trust-Over/ Under Performance,AMBULANCE SERVICES,LONDON AMBULANCE SERVICE NHS TRUST,33766601,"-101,506.50"
Department of Health,NHS South East London CCG,30/09/2020,External Consultancy Fees,PROGRAMME PROJECTS,MOORHOUSE CONSULTING LTD,33766611,"52,380.00"
