Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS South East London CCG,10/31/2020,Computer Software/License,COMMISSIONING SCHEMES,C THE SIGNS LTD,34070294,"17,160.00"
Department of Health,NHS South East London CCG,10/31/2020,Computer Software/License,COMMISSIONING SCHEMES,C THE SIGNS LTD,34070294,"85,800.00"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Othe Public Sector,CHILD AND ADOLESCENT MENTAL HEALTH,LONDON BOROUGH OF LAMBETH,34081411,"36,000.00"
Department of Health,NHS South East London CCG,10/31/2020,Services From Local Authorities,NON RECURRENT PROGRAMMES,LONDON BOROUGH OF LEWISHAM,34081416,"150,000.00"
Department of Health,NHS South East London CCG,10/31/2020,Cont Care- Children,CHILDRENS CONTINUING CARE,FOCUSED HEALTHCARE LTD,34081420,"86,454.71"
Department of Health,NHS South East London CCG,10/31/2020,Cont Care- Children,CHILDRENS CONTINUING CARE,FOCUSED HEALTHCARE LTD,34081431,"68,400.72"
Department of Health,NHS South East London CCG,10/31/2020,Cont Care- Children,CHILDRENS CONTINUING CARE,FOCUSED HEALTHCARE LTD,34081466,"67,362.54"
Department of Health,NHS South East London CCG,10/31/2020,Computer Software/License,PRIMARY CARE IT,EGTON MEDICAL INFORMATION SYSTEMS LTD,34081517,"29,056.25"
Department of Health,NHS South East London CCG,10/31/2020,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,LIFEWAYS COMMUNITY CARE LTD,34081628,"56,927.00"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,MALLING HEALTH (UK) LTD,34081851,"39,929.75"
Department of Health,NHS South East London CCG,10/31/2020,Cont Care- Children,CHILDRENS CONTINUING CARE,FOCUSED HEALTHCARE LTD,34081860,"-67,362.54"
Department of Health,NHS South East London CCG,10/31/2020,Cont Care- Children,CHILDRENS CONTINUING CARE,FOCUSED HEALTHCARE LTD,34081869,"-86,454.71"
Department of Health,NHS South East London CCG,10/31/2020,Cont Care- Children,CHILDRENS CONTINUING CARE,FOCUSED HEALTHCARE LTD,34081878,"-68,400.72"
Department of Health,NHS South East London CCG,10/31/2020,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,THORNBURY NURSING SERVICES,34081907,"25,650.12"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Othe Public Sector,CHILDREN SERVICES,LONDON BOROUGH OF LAMBETH,34081983,"59,489.75"
Department of Health,NHS South East London CCG,10/31/2020,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,92 HIGHER DRIVE LTD,34082026,"208,432.83"
Department of Health,NHS South East London CCG,10/31/2020,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,FAIRLIE HOUSE,34082038,"48,082.67"
Department of Health,NHS South East London CCG,10/31/2020,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,FAIRLIE HOUSE,34082042,"121,321.72"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,MALLING HEALTH (UK) LTD,34082066,"-39,929.75"
Department of Health,NHS South East London CCG,10/31/2020,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,HC ONE LTD,34082168,"104,560.31"
Department of Health,NHS South East London CCG,10/31/2020,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,NATIONAL STAR COLLEGE,34082358,"52,909.36"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Voluntary Sector,MENTAL HEALTH CONTRACTS,HEXAGON HOUSING ASSOCIATION,34082364,"50,650.50"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Voluntary Sector,MENTAL HEALTH CONTRACTS,HEXAGON HOUSING ASSOCIATION,34082380,"50,650.50"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Voluntary Sector,MENTAL HEALTH CONTRACTS,HEXAGON HOUSING ASSOCIATION,34082382,"50,650.50"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Voluntary Sector,MENTAL HEALTH CONTRACTS,HEXAGON HOUSING ASSOCIATION,34082385,"50,650.50"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Voluntary Sector,MENTAL HEALTH CONTRACTS,HEXAGON HOUSING ASSOCIATION,34082387,"50,650.50"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Independent Sector - Contract Baseline,COMMUNITY SERVICES,BRYMORE HOUSE,34083496,"97,407.44"
Department of Health,NHS South East London CCG,10/31/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,34096841,"31,303.00"
Department of Health,NHS South East London CCG,10/31/2020,Cont Care- Prior Year Payments,CHC ADULT FULLY FUNDED,LONDON BOROUGH OF LAMBETH,34096856,"28,672.00"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Not For Profit,ACUTE COMMISSIONING,BPAS,34096892,"83,000.00"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Not For Profit,ACUTE COMMISSIONING,BPAS,34096952,"83,000.00"
Department of Health,NHS South East London CCG,10/31/2020,C&M-OES Minor Eye Condition,COMMUNITY SERVICES,PRIMARY OPHTHALMIC SOLUTIONS,34097082,"109,832.60"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,VITA HEALTH SOLUTION LTD,34097273,"259,105.33"
Department of Health,NHS South East London CCG,10/31/2020,Miscellaneous Expenditure (L9),FINANCE,POSTURITE LTD,34100510,"46,244.02"
Department of Health,NHS South East London CCG,10/31/2020,Miscellaneous Expenditure (L9),FINANCE,POSTURITE LTD,34100510,"9,248.80"
Department of Health,NHS South East London CCG,10/31/2020,IT(Owned)-Cost-Addns-Purch Assets,BALANCE SHEET,CDW LTD,34100511,"30,922.50"
Department of Health,NHS South East London CCG,10/31/2020,IT(Owned)-Cost-Addns-Purch Assets,BALANCE SHEET,CDW LTD,34100511,"6,184.50"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Independent Sector - Prior Year,QUALITY PREMIUM PROGRAMME,ONE HEALTH LEWISHAM (SAS),34113959,"25,000.00"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Othe Public Sector,REABLEMENT,LONDON BOROUGH OF LAMBETH,34113974,"1,531,174.00"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Commercial Sector,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,CYGNET HEALTHCARE LTD,34114067,"32,232.00"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Othe Public Sector,COMMISSIONING - NON ACUTE,LONDON BOROUGH OF LAMBETH,34114089,"212,000.00"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,BELLEGROVE ROAD SURGERY,34114103,"33,195.29"
Department of Health,NHS South East London CCG,10/31/2020,Cont Care-Mental Health (<65),ADULT JOINT FUNDED CONTINUING CARE,LONDON BOROUGH OF BROMLEY,34114122,"35,492.60"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Independent Sector,URGENT CARE,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,34114141,"35,439.95"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Independent Sector,URGENT CARE,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,34114155,"94,039.00"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Independent Sector,URGENT CARE,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,34114157,"242,069.00"
Department of Health,NHS South East London CCG,10/31/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,BUPA CARE HOMES,34114179,"36,232.12"
Department of Health,NHS South East London CCG,10/31/2020,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,BUPA CARE HOMES,34114180,"37,388.18"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,MALLING HEALTH (UK) LTD,34114185,"25,140.00"
Department of Health,NHS South East London CCG,10/31/2020,Clinical&Medical-Independent Sector,COMMISSIONING - NON ACUTE,AGE UK LAMBETH,34114188,"29,125.00"
