Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS South East London CCG,11/30/2020,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CIRCLE CLINICAL SERVICES LTD,34701167,"-8,912,396.00"
Department of Health,NHS South East London CCG,11/30/2020,Rent,ESTATES AND FACILITIES,COMMUNITY HEALTH PARTNERSHIPS LTD,34740828,"-664,000.00"
Department of Health,NHS South East London CCG,11/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL MARSDEN NHS FOUNDATION TRUST (THE),34740968,"-465,910.00"
Department of Health,NHS South East London CCG,11/30/2020,Hcare Srv Rec Fdtn Trust-Contract Baseline,ACUTE COMMISSIONING,ROYAL MARSDEN NHS FOUNDATION TRUST (THE),34740985,"-465,909.75"
Department of Health,NHS South East London CCG,11/30/2020,Rent,ESTATES AND FACILITIES,COMMUNITY HEALTH PARTNERSHIPS LTD,34740828,"-132,800.00"
Department of Health,NHS South East London CCG,11/30/2020,Rent,ESTATES AND FACILITIES,NHS PROPERTY SERVICES LTD,34701564,"-119,800.79"
Department of Health,NHS South East London CCG,11/30/2020,Hcare Srv Rec Fdtn Trust-Non Contract,ACUTE COMMISSIONING,GUYS & ST THOMAS HOSPITAL NHS FOUNDATION TRUST,34789394,"-109,415.00"
Department of Health,NHS South East London CCG,11/30/2020,Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,34565487,"-67,337.83"
Department of Health,NHS South East London CCG,11/30/2020,Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,34565511,"-64,181.68"
Department of Health,NHS South East London CCG,11/30/2020,Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,34726530,"-64,117.37"
Department of Health,NHS South East London CCG,11/30/2020,Hcare Srv Rec Fdtn Trust-Prior Year,ACUTE COMMISSIONING,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,34533536,"-53,432.44"
Department of Health,NHS South East London CCG,11/30/2020,Miscellaneous Expenditure (L9),CLINICAL ASSESSMENT AND TREATMENT CENTRES,BEXLEY HEALTH NEIGHBOURHOOD CARE CIC,34497746,"-51,987.50"
Department of Health,NHS South East London CCG,11/30/2020,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,BROMLEY GP ALLIANCE,34612725,"-50,541.78"
Department of Health,NHS South East London CCG,11/30/2020,Clinical&Medical-Independent Sector,URGENT CARE,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,34755957,"-50,000.00"
Department of Health,NHS South East London CCG,11/30/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,BROMLEY GP ALLIANCE,34612725,"-48,857.02"
Department of Health,NHS South East London CCG,11/30/2020,Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,34565494,"-47,711.80"
Department of Health,NHS South East London CCG,11/30/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,AKERMAN MEDICAL PRACTICE,34643365,"-45,123.17"
Department of Health,NHS South East London CCG,11/30/2020,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,SIDCUP MEDICAL CENTRE,34534277,"-42,412.50"
Department of Health,NHS South East London CCG,11/30/2020,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,BURSTED WOOD SURGERY,34541308,"-42,072.14"
Department of Health,NHS South East London CCG,11/30/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,BURSTED WOOD SURGERY,34541308,"-40,669.73"
Department of Health,NHS South East London CCG,11/30/2020,Service Charge,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,34447798,"-39,681.85"
Department of Health,NHS South East London CCG,11/30/2020,Cont Care-Learning Disab(65+),ADULT JOINT FUNDED CONTINUING CARE,LONDON BOROUGH OF BROMLEY,34533616,"-37,253.44"
Department of Health,NHS South East London CCG,11/30/2020,Contract & Agency-Agency A & C,PROGRAMME PROJECTS,NINA MURPHY ASSOCIATES LLP,34554719,"-36,000.00"
Department of Health,NHS South East London CCG,11/30/2020,Clinical&Medical-Commercial Sector,CLINICAL ASSESSMENT AND TREATMENT CENTRES,BROMLEY HEALTHCARE CIC,34636938,"-35,328.00"
Department of Health,NHS South East London CCG,11/30/2020,Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,34447769,"-32,209.81"
Department of Health,NHS South East London CCG,11/30/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ELTHAM MEDICAL PRACTICE,34515198,"-29,641.87"
Department of Health,NHS South East London CCG,11/30/2020,Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,34551571,"-28,475.84"
Department of Health,NHS South East London CCG,11/30/2020,Cont Care- Children,CHILDRENS CONTINUING CARE,FIRST OPTION HEALTHCARE,34497572,"-25,746.95"
Department of Health,NHS South East London CCG,11/30/2020,Clinical&Medical-Independent Sector,CHILD AND ADOLESCENT MENTAL HEALTH,XENZONE LTD,34740989,"-25,000.00"
Department of Health,NHS South East London CCG,11/30/2020,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,QUAY HEALTH SOLUTIONS CIC,34514222,"-24,877.16"
Department of Health,NHS South East London CCG,11/30/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,BROMLEY GP ALLIANCE,34612725,"-24,327.43"
Department of Health,NHS South East London CCG,11/30/2020,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,QUAY HEALTH SOLUTIONS CIC,34514222,"-24,047.88"
Department of Health,NHS South East London CCG,11/30/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,ELTHAM MEDICAL PRACTICE,34515198,"-23,635.02"
Department of Health,NHS South East London CCG,11/30/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ST JOHNS MEDICAL CENTRE,34514179,"-23,040.00"
Department of Health,NHS South East London CCG,11/30/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NEXUS HEALTH GROUP,34514205,"-22,068.78"
Department of Health,NHS South East London CCG,11/30/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,BURSTED WOOD SURGERY,34541308,"-20,557.21"
Department of Health,NHS South East London CCG,11/30/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,VALENTINE HEALTH PARTNERSHIP,34515221,"-20,048.00"
Department of Health,NHS South East London CCG,11/30/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,HURLEY CLINIC,34514225,"-19,969.50"
Department of Health,NHS South East London CCG,11/30/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,VALENTINE HEALTH PARTNERSHIP,34515221,"-19,379.74"
Department of Health,NHS South East London CCG,11/30/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,HURLEY CLINIC,34514225,"-19,303.86"
Department of Health,NHS South East London CCG,11/30/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NEXUS HEALTH GROUP,34514205,"-18,680.73"
Department of Health,NHS South East London CCG,11/30/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,FOREST HILL GROUP PRACTICE,34514114,"-17,663.42"
Department of Health,NHS South East London CCG,11/30/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,ELTHAM PALACE SURGERY,34515200,"-16,241.76"
Department of Health,NHS South East London CCG,11/30/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ELTHAM PALACE SURGERY,34515200,"-15,700.36"
Department of Health,NHS South East London CCG,11/30/2020,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,SUMMERCROFT SURGERY,34612696,"-15,477.14"
Department of Health,NHS South East London CCG,11/30/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,VANBRUGH GROUP PRACTICE,34515234,"-14,394.68"
Department of Health,NHS South East London CCG,11/30/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ALBION STREET HEALTH CENTRE,34514065,"-14,000.34"
Department of Health,NHS South East London CCG,11/30/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,MODALITY PARTNERSHIP,34541373,"-13,412.87"
Department of Health,NHS South East London CCG,11/30/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ELM HOUSE SURGERY,34612662,"-13,270.29"
Department of Health,NHS South East London CCG,11/30/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,WOODLANDS HEALTH CENTRE LONDON,34514201,"-13,153.26"
Department of Health,NHS South East London CCG,11/30/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NORTHWOOD GROUP PRACTICE,34514215,"-12,971.96"
Department of Health,NHS South East London CCG,11/30/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,ALBION STREET HEALTH CENTRE,34514065,"-12,969.17"
Department of Health,NHS South East London CCG,11/30/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,MAWBEY GROUP PRACTICE,34514139,"-12,934.51"
Department of Health,NHS South East London CCG,11/30/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,NEXUS HEALTH GROUP,34514205,"-12,858.63"
Department of Health,NHS South East London CCG,11/30/2020,Rent,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,34726530,"-12,823.47"
Department of Health,NHS South East London CCG,11/30/2020,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,WOOLSTONE MEDICAL CENTRE,34514203,"-12,670.00"
Department of Health,NHS South East London CCG,11/30/2020,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NORTHWOOD GROUP PRACTICE,34514215,"-12,538.66"
Department of Health,NHS South East London CCG,11/30/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,HERNE HILL GROUP PRACTICE,34514119,"-12,509.35"
Department of Health,NHS South East London CCG,11/30/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,CLAPHAM PARK GROUP PRACTICE,34541331,"-12,353.37"
Department of Health,NHS South East London CCG,11/30/2020,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,WOOLSTONE MEDICAL CENTRE,34514203,"-12,247.66"
Department of Health,NHS South East London CCG,11/30/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,AMERSHAM VALE TRAINING PRACTICE,34514064,"-12,047.85"
Department of Health,NHS South East London CCG,11/30/2020,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,QUAY HEALTH SOLUTIONS CIC,34514222,"-11,974.19"
Department of Health,NHS South East London CCG,11/30/2020,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,MODALITY PARTNERSHIP,34541374,"-11,898.26"
