Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS South East London CCG,12/31/2020,Cont Care-Funded Nursing Care Allow,CHC ADULT FULLY FUNDED,LONDON BOROUGH OF LEWISHAM,35051292,"-310,425.00"
Department of Health,NHS South East London CCG,12/31/2020,SYS-NHS A/P Control-Cutover Bal <1Yr,BALANCE SHEET,NHS CENTRAL LONDON (WESTMINSTER) CCG,34925328,"-170,000.00"
Department of Health,NHS South East London CCG,12/31/2020,C&M-APMS Practice Transformational Support,PRC DELEGATED CO-COMMISSIONING,BROMLEY GP ALLIANCE,34803504,"-122,449.59"
Department of Health,NHS South East London CCG,12/31/2020,Clinical&Medical-Independent Sector,LEARNING DIFFICULTIES,ALDERWOOD LLA LTD,34958584,"-100,145.62"
Department of Health,NHS South East London CCG,12/31/2020,Clinical&Medical-Voluntary Sector,CHILD AND ADOLESCENT MENTAL HEALTH,Y BROMLEY,34803474,"-96,467.00"
Department of Health,NHS South East London CCG,12/31/2020,Clinical&Medical-Voluntary Sector,CHILD AND ADOLESCENT MENTAL HEALTH,Y BROMLEY,34803475,"-96,467.00"
Department of Health,NHS South East London CCG,12/31/2020,Clinical&Medical-Independent Sector,URGENT CARE,GREENBROOK HEALTHCARE (HOUNSLOW) LTD,35071307,"-60,556.08"
Department of Health,NHS South East London CCG,12/31/2020,Cont Care-Learning Disab(<65),ADULT JOINT FUNDED CONTINUING CARE,LONDON BOROUGH OF BROMLEY,34800941,"-57,406.41"
Department of Health,NHS South East London CCG,12/31/2020,ME - PMS GP Prior Year ERs,PRC DELEGATED CO-COMMISSIONING,NEXUS HEALTH GROUP,34890060,"-52,288.73"
Department of Health,NHS South East London CCG,12/31/2020,Hcare Srv Rec NHS Trust-Non Contract,URGENT CARE,LEWISHAM & GREENWICH NHS TRUST,34803348,"-50,814.25"
Department of Health,NHS South East London CCG,12/31/2020,Hcare Srv Rec NHS Trust-Non Contract,URGENT CARE,LEWISHAM & GREENWICH NHS TRUST,34803350,"-50,814.25"
Department of Health,NHS South East London CCG,12/31/2020,Healthcare Srv Rec CCG,COMMISSIONING SCHEMES,BEYOND CONSULTANTS,34925319,"-43,440.00"
Department of Health,NHS South East London CCG,12/31/2020,ME-PMS GP Prior Year EEs,PRC DELEGATED CO-COMMISSIONING,NEXUS HEALTH GROUP,34890060,"-41,001.82"
Department of Health,NHS South East London CCG,12/31/2020,Services From Local Authorities,NON RECURRENT PROGRAMMES,LONDON BOROUGH OF LEWISHAM,35116369,"-36,245.25"
Department of Health,NHS South East London CCG,12/31/2020,Cont Care-Physical Disab (<65),ADULT JOINT FUNDED CONTINUING CARE,RICHARDSON PARTNERSHIP FOR CARE,35033252,"-36,057.34"
Department of Health,NHS South East London CCG,12/31/2020,C&M-PMS LES Phlebotomy,COMMUNITY SERVICES,BROMLEY GP ALLIANCE,34864844,"-35,801.64"
