Department Family,Entity,Expense Type,Expense Area,Supplier,Amount
Department of Health,NHS South East London CCG31/01/2021,Computer Software/License,IM&T PROJECTS,AMPITO GROUP LLP,"42,720.00"
Department of Health,NHS South East London CCG31/01/2021,Computer Software/License,IM&T PROJECTS,AMPITO GROUP LLP,"8,544.00"
Department of Health,NHS South East London CCG31/01/2021,Computer Software/License,PRIMARY CARE IT,AMPITO GROUP LLP,"-8,544.00"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,BONDCARE (LONDON) LTD BROOK HOUSE,"43,247.35"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,FOUR SEASONS HEALTH CARE LTD,"38,649.35"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Commercial Sector,GP FORWARD VIEW,NEXUS HEALTH GROUP,"31,708.08"
Department of Health,NHS South East London CCG31/01/2021,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,METRO HOMECARE LTD,"27,838.86"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Mental Health (65+),CHC ADULT FULLY FUNDED,METRO HOMECARE LTD,739.8
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,METRO HOMECARE LTD,"1,035.72"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,METRO HOMECARE LTD,"4,027.80"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Learning Disab(<65),CHC ADULT FULLY FUNDED,FAIRLIE HOUSE,"87,391.04"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,FAIRLIE HOUSE,"31,293.24"
Department of Health,NHS South East London CCG31/01/2021,Contract & Agency-Agency A & C,FINANCE,KALEIDOSCOPE HEALTH & CARE CIC,"30,210.00"
Department of Health,NHS South East London CCG31/01/2021,,,BRYMORE HOUSE,"106,080.00"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Independent Sector,REABLEMENT,BUPA CARE HOMES,"38,142.86"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Not For Profit,MATERNITY SERVICES,BPAS,"83,000.00"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Voluntary Sector,MATERNITY SERVICES,MARIE STOPES INTERNATIONAL,"41,822.04"
Department of Health,NHS South East London CCG31/01/2021,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,LONDON BOROUGH OF LEWISHAM,"125,624.80"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,LONDON BOROUGH OF LEWISHAM,"132,459.11"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,LONDON BOROUGH OF LEWISHAM,"178,643.37"
Department of Health,NHS South East London CCG31/01/2021,External Consultancy Fees,PROGRAMME PROJECTS,EVALUCOM CONSULTING LTD,"44,500.00"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,IMPROVING HEALTH LTD,"295,498.00"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Commercial Sector,URGENT CARE,GREENWICH HEALTH LTD,"53,994.00"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Independent Sector,PRIMARY CARE INVESTMENTS,BEXLEY GROUP PRACTICE,"27,162.27"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,COMPLETE CARE HOLDINGS LTD,"27,512.37"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Voluntary Sector,,35170399,"56,000.00"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Voluntary Sector,,35170416,"56,406.25"
Department of Health,NHS South East London CCG31/01/2021,Cont Care-Physical Disab (<65),CHC ADULT FULLY FUNDED,ROYAL BUCKINGHAMSHIRE HOSPITAL,"29,560.72"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Independent Sector,,35170683,"69,878.00"
Department of Health,NHS South East London CCG31/01/2021,Clinical&Medical-Independent Sector,,35170688,"69,878.00"
