Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS South East London CCG,2/28/2021,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,HURLEY GROUP,35676081,"-440,000.00"
Department of Health,NHS South East London CCG,2/28/2021,Clinical&Medical-Independent Sector,GP FORWARD VIEW,BEXLEY HEALTH NEIGHBOURHOOD CARE CIC,35697306,"-175,903.00"
Department of Health,NHS South East London CCG,2/28/2021,Clinical&Medical-Not For Profit,MATERNITY SERVICES,BPAS,35557137,"-131,443.07"
Department of Health,NHS South East London CCG,2/28/2021,Cont Care-Learning Disab(<65),ADULT JOINT FUNDED CONTINUING CARE,LONDON BOROUGH OF BROMLEY,35655523,"-121,179.50"
Department of Health,NHS South East London CCG,2/28/2021,Hlthcre-Foundation Trsts,MENTAL HEALTH CONTRACTS,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,35483567,"-100,000.00"
Department of Health,NHS South East London CCG,2/28/2021,Clinical&Medical-Independent Sector,GP FORWARD VIEW,ONE HEALTH LEWISHAM (SAS),35777676,"-97,541.25"
Department of Health,NHS South East London CCG,2/28/2021,Hcare Srv Rec Fdtn Trust-Prior Year,MENTAL HEALTH SERVICES - NOT CONTRACTED ACTIVITY,OXLEAS NHS FOUNDATION TRUST,35496723,"-74,400.00"
Department of Health,NHS South East London CCG,2/28/2021,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,AT MEDICS LTD,35815152,"-63,783.00"
Department of Health,NHS South East London CCG,2/28/2021,C&M-APMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,BURSTED WOOD SURGERY,35593347,"-55,007.02"
Department of Health,NHS South East London CCG,2/28/2021,Hcare Srv Rec NHS Trust-Non Contract,URGENT CARE,LEWISHAM & GREENWICH NHS TRUST,35825222,"-50,814.25"
Department of Health,NHS South East London CCG,2/28/2021,Hlthcre-Foundation Trsts,MENTAL HEALTH CONTRACTS,SOUTH LONDON AND MAUDSLEY NHS FOUNDATION TRUST,35483559,"-50,000.00"
Department of Health,NHS South East London CCG,2/28/2021,C&M-APMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,BROMLEY GP ALLIANCE,35671910,"-49,267.51"
Department of Health,NHS South East London CCG,2/28/2021,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,VALE MEDICAL CENTRE,35588245,"-41,720.64"
Department of Health,NHS South East London CCG,2/28/2021,Computer Network Costs,PRIMARY CARE IT,EXPONENTIAL-E LTD,35751395,"-39,213.12"
Department of Health,NHS South East London CCG,2/28/2021,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,BROMLEY GP ALLIANCE,35671910,"-33,514.77"
Department of Health,NHS South East London CCG,2/28/2021,C&M-PMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,HERNE HILL GROUP PRACTICE,35588177,"-33,014.91"
Department of Health,NHS South East London CCG,2/28/2021,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,BROMLEY GP ALLIANCE,35671910,"-32,397.59"
Department of Health,NHS South East London CCG,2/28/2021,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,BURSTED WOOD SURGERY,35593347,"-29,992.76"
Department of Health,NHS South East London CCG,2/28/2021,Continence Products,COMMUNITY SERVICES,SUPPLY CHAIN COORDINATION LIMITED,35579725,"-29,932.77"
Department of Health,NHS South East London CCG,2/28/2021,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,BURSTED WOOD SURGERY,35593347,"-28,993.00"
Department of Health,NHS South East London CCG,2/28/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ELM HOUSE SURGERY,35671857,"-27,126.13"
Department of Health,NHS South East London CCG,2/28/2021,Charges from CSU,IM&T,NHS NEL CSU,35665361,"-26,167.39"
Department of Health,NHS South East London CCG,2/28/2021,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,ELM HOUSE SURGERY,35671857,"-26,099.93"
Department of Health,NHS South East London CCG,2/28/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,BROMLEY HEALTHCARE CIC,35610424,"-25,250.00"
Department of Health,NHS South East London CCG,2/28/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,BROMLEY HEALTHCARE CIC,35610428,"-25,250.00"
Department of Health,NHS South East London CCG,2/28/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,BROMLEY HEALTHCARE CIC,35610433,"-25,250.00"
Department of Health,NHS South East London CCG,2/28/2021,Clinical&Medical-Commercial Sector,COMMUNITY SERVICES,BROMLEY HEALTHCARE CIC,35610435,"-25,250.00"
Department of Health,NHS South East London CCG,2/28/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,BROMLEY HEALTHCARE CIC,35610442,"-25,250.00"
Department of Health,NHS South East London CCG,2/28/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,BROMLEY HEALTHCARE CIC,35610445,"-25,000.00"
Department of Health,NHS South East London CCG,2/28/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,BROMLEY HEALTHCARE CIC,35610448,"-25,000.00"
Department of Health,NHS South East London CCG,2/28/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,BROMLEY HEALTHCARE CIC,35610456,"-25,000.00"
Department of Health,NHS South East London CCG,2/28/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,BROMLEY HEALTHCARE CIC,35610462,"-25,000.00"
Department of Health,NHS South East London CCG,2/28/2021,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,BROMLEY HEALTHCARE CIC,35610467,"-25,000.00"
Department of Health,NHS South East London CCG,2/28/2021,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,BEXLEY GROUP PRACTICE,35593341,"-24,343.70"
Department of Health,NHS South East London CCG,2/28/2021,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,QUAY HEALTH SOLUTIONS CIC,35588277,"-24,336.38"
Department of Health,NHS South East London CCG,2/28/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,BEXLEY GROUP PRACTICE,35593341,"-23,696.03"
Department of Health,NHS South East London CCG,2/28/2021,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,QUAY HEALTH SOLUTIONS CIC,35588277,"-23,525.16"
Department of Health,NHS South East London CCG,2/28/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NEXUS HEALTH GROUP,35588260,"-21,158.00"
Department of Health,NHS South East London CCG,2/28/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,HURLEY CLINIC,35588187,"-21,084.11"
