Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS South East London CCG,3/31/2021,Clinical&Medical-Independent Sector,PLANNED CARE,CIRCLE CLINICAL SERVICES LTD,36000422,"-8,877,396.00"
Department of Health,NHS South East London CCG,3/31/2021,Contract & Agency-Agency Int Mgr,BUSINESS DEVELOPMENT,BDM MEDICAL LTD TA DOCTALY,35936234,"-360,000.00"
Department of Health,NHS South East London CCG,3/31/2021,Clinical&Medical-Voluntary Sector,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,MIND IN BEXLEY,35884792,"-193,000.00"
Department of Health,NHS South East London CCG,3/31/2021,Soc Care-Community Equp&Adaptations,COMMUNITY SERVICES,ROYAL BOROUGH OF GREENWICH,35867353,"-118,657.91"
Department of Health,NHS South East London CCG,3/31/2021,Contract & Agency-Agency Int Mgr,BUSINESS DEVELOPMENT,BDM MEDICAL LTD TA DOCTALY,35936234,"-72,000.00"
Department of Health,NHS South East London CCG,3/31/2021,C&M-APMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,BURSTED WOOD SURGERY,35931377,"-52,911.01"
Department of Health,NHS South East London CCG,3/31/2021,Cont Care- Children,CLINICAL ASSESSMENT AND TREATMENT CENTRES,INTERSERVE HEALTHCARE LTD,35960176,"-52,697.14"
Department of Health,NHS South East London CCG,3/31/2021,C&M-PMS Prem Healthcentre Rent,PRC DELEGATED CO-COMMISSIONING,ACORNS SURGERY,35930412,"-51,500.41"
Department of Health,NHS South East London CCG,3/31/2021,C&M-APMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,BURSTED WOOD SURGERY,35931377,"-51,462.66"
Department of Health,NHS South East London CCG,3/31/2021,Hcare Srv Rec NHS Trust-Non Contract,NCAS/OATS,LEWISHAM & GREENWICH NHS TRUST,35828894,"-50,814.25"
Department of Health,NHS South East London CCG,3/31/2021,C&M-APMS Other Addtl Staff Paymts,PRC DELEGATED CO-COMMISSIONING,ST JOHNS MEDICAL CENTRE,35915493,"-50,000.00"
Department of Health,NHS South East London CCG,3/31/2021,Clinical&Medical-Independent Sector,NON RECURRENT PROGRAMMES,TOGETHER FOR MENTAL WELLBEING,36000704,"-50,000.00"
Department of Health,NHS South East London CCG,3/31/2021,Clinical&Medical-Independent Sector,NON RECURRENT PROGRAMMES,TOGETHER FOR MENTAL WELLBEING,36000733,"-50,000.00"
Department of Health,NHS South East London CCG,3/31/2021,Clinical&Medical-Independent Sector,NON RECURRENT PROGRAMMES,TOGETHER FOR MENTAL WELLBEING,36022124,"-50,000.00"
Department of Health,NHS South East London CCG,3/31/2021,Clinical&Medical-Commercial Sector,LONG TERM CONDITIONS,RESPIRICARE LTD,36000198,"-43,350.00"
Department of Health,NHS South East London CCG,3/31/2021,Service Charge,RECHARGES NHS PROPERTY SERVICES LTD,NHS PROPERTY SERVICES LTD,35959681,"-36,004.94"
Department of Health,NHS South East London CCG,3/31/2021,C&M-PMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,HURLEY CLINIC,35930331,"-35,508.67"
Department of Health,NHS South East London CCG,3/31/2021,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,BROMLEY GP ALLIANCE,36011585,"-33,514.77"
Department of Health,NHS South East London CCG,3/31/2021,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,DR PLANA F & PARTNER,35931395,"-32,483.52"
Department of Health,NHS South East London CCG,3/31/2021,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,BROMLEY GP ALLIANCE,36011585,"-32,397.59"
Department of Health,NHS South East London CCG,3/31/2021,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,DR PLANA F & PARTNER,35931395,"-31,400.72"
Department of Health,NHS South East London CCG,3/31/2021,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,BURSTED WOOD SURGERY,35931377,"-29,992.76"
Department of Health,NHS South East London CCG,3/31/2021,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,BURSTED WOOD SURGERY,35931377,"-28,993.00"
Department of Health,NHS South East London CCG,3/31/2021,C&M-PMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,HURLEY CLINIC,35930331,"-26,512.20"
Department of Health,NHS South East London CCG,3/31/2021,Clinical&Medical-Independent Sector,LOCAL ENHANCED SERVICES,MALLING HEALTH (UK) LTD,35891490,"-25,140.00"
Department of Health,NHS South East London CCG,3/31/2021,C&M-APMS PCN DES PCN support,LOCAL ENHANCED SERVICES,QUAY HEALTH SOLUTIONS CIC,35930428,"-24,336.38"
Department of Health,NHS South East London CCG,3/31/2021,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,HETHERINGTON GROUP PRACTICE,35930321,"-23,608.97"
Department of Health,NHS South East London CCG,3/31/2021,C&M-APMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,QUAY HEALTH SOLUTIONS CIC,35930428,"-23,525.16"
Department of Health,NHS South East London CCG,3/31/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NEXUS HEALTH GROUP,35930408,"-21,221.38"
Department of Health,NHS South East London CCG,3/31/2021,C&M-PMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,STREATHAM HILL GROUP PRACTICE,35930430,"-18,855.25"
Department of Health,NHS South East London CCG,3/31/2021,C&M-PMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,VALENTINE HEALTH PARTNERSHIP,35931424,"-18,558.76"
Department of Health,NHS South East London CCG,3/31/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,BROCKWELL PARK,35927272,"-17,929.56"
Department of Health,NHS South East London CCG,3/31/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,ELM HOUSE SURGERY,36011533,"-16,490.28"
Department of Health,NHS South East London CCG,3/31/2021,ME-PMS GP Pension EEs-PMS,PRC DELEGATED CO-COMMISSIONING,NEXUS HEALTH GROUP,35930408,"-16,384.24"
Department of Health,NHS South East London CCG,3/31/2021,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,ELTHAM PALACE SURGERY,35931402,"-16,241.76"
Department of Health,NHS South East London CCG,3/31/2021,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,BROMLEY GP ALLIANCE,36011585,"-16,131.77"
Department of Health,NHS South East London CCG,3/31/2021,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ELTHAM PALACE SURGERY,35931402,"-15,700.36"
Department of Health,NHS South East London CCG,3/31/2021,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,DR PLANA F & PARTNER,35931395,"-15,635.40"
Department of Health,NHS South East London CCG,3/31/2021,C&M-PMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,SUMMERCROFT SURGERY,36011565,"-15,477.14"
Department of Health,NHS South East London CCG,3/31/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,CHISLEHURST MEDICAL PRACTICE,36011521,"-15,431.48"
Department of Health,NHS South East London CCG,3/31/2021,C&M-APMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,BURSTED WOOD SURGERY,35931377,"-14,743.00"
Department of Health,NHS South East London CCG,3/31/2021,ME-PMS GP Pension ERs Adjs - PMS,PRC DELEGATED CO-COMMISSIONING,NORTHWOOD GROUP PRACTICE,35930418,"-14,491.57"
