Department Family,Entity,Date,Period,Supplier,Invoice Number,Amount,Expense Type,Expense Area
DoH,SGH,07/04/2020,202001,AAH Hospital Service,51723159M,"32,349.12",JAC Purchases,Balance Sheet
DoH,SGH,07/04/2020,202001,AAH Hospital Service,51526968E,"105,600.00",Contract Services Building,Capital
DoH,SGH,15/04/2020,202001,AAH Hospital Service,51992905E,38067.65,M & S Equipment,Capital
DoH,SGH,15/04/2020,202001,AAH Hospital Service,51845878Y,42768,Contract Services Building,Capital
DoH,SGH,30/04/2020,202001,AAH Hospital Service,525915307Q,34560,Contract Services Building,Capital
DoH,SGH,07/04/2020,202001,Abbott Medical UK Limited,7500427297,28080,M & S Surgical Implants,Rehab & Adult Therapy Services
DoH,SGH,28/04/2020,202001,Absolute Air & Gas Ltd,22344,"29,562.24",Drugs - MHRA License,Pharmacy
DoH,SGH,28/04/2020,202001,Aimteq Solutions Limited,SI011221,"26,916.00",Contract Services Building,Capital
DoH,SGH,28/04/2020,202001,Alarm Communication Ltd,25739,"235,511.78",Other Contract Clinical Services,Renal
DoH,SGH,07/04/2020,202001,Alliance Healthcare (Distribution) Ltd,A03B01948,55642.08,JAC Purchases,Balance Sheet
DoH,SGH,07/04/2020,202001,Alliance Healthcare (Distribution) Ltd,A03G02296,44810.02,JAC Purchases,Balance Sheet
DoH,SGH,21/04/2020,202001,Alliance Healthcare (Distribution) Ltd,A03H08667,"27,223.20",Electricity,Energy & Engineering
DoH,SGH,28/04/2020,202001,Alliance Healthcare (Distribution) Ltd,A04901802,"41,777.16",M & S Eqpt Leasing & Hire,Capital
DoH,SGH,28/04/2020,202001,Alliance Healthcare (Distribution) Ltd,A04708314,"34,904.90",Contract Services Building,Capital
DoH,SGH,30/04/2020,202001,Alliance Healthcare (Distribution) Ltd,A02P08572,29100.58,Contract Services Building,Capital
DoH,SGH,15/04/2020,202001,Alloga UK Limited,SIN102863349,29520,0,0
DoH,SGH,15/04/2020,202001,Alloga UK Limited,SIN102862113,54240,0,0
DoH,SGH,15/04/2020,202001,Alloga UK Limited,SIN102857494,53576.16,0,0
DoH,SGH,15/04/2020,202001,Alloga UK Limited,SIN102857495,162720,0,0
DoH,SGH,21/04/2020,202001,Alloga UK Limited,SIN102867859,34920,0,0
DoH,SGH,28/04/2020,202001,Alloga UK Limited,SIN102869055,"27,000.00",Contract Services Building,Capital
