Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,Amount
Department of Health,NHS South West London CCG,######,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,C J ELLIOTT,31811421,"2,932.83"
Department of Health,NHS South West London CCG,######,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,C J ELLIOTT,31811421,"6,090.00"
Department of Health,NHS South West London CCG,######,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,C J ELLIOTT,31811421,"1,570.61"
Department of Health,NHS South West London CCG,######,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,C J ELLIOTT,31811421,"2,662.20"
Department of Health,NHS South West London CCG,######,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,C J ELLIOTT,31811421,"6,516.66"
Department of Health,NHS South West London CCG,######,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,C RIBEIRO,31811428,"89,586.31"
Department of Health,NHS South West London CCG,######,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,C RIBEIRO,31811428,"7,731.83"
Department of Health,NHS South West London CCG,######,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,C RIBEIRO,31811428,"14,103.17"
Department of Health,NHS South West London CCG,######,C&M-PMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,C RIBEIRO,31811428,"3,856.08"
Department of Health,NHS South West London CCG,######,C&M-PMS PCN DES PCN support,LOCAL ENHANCED SERVICES,C RIBEIRO,31811428,"8,007.17"
Department of Health,NHS South West London CCG,######,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,C RIBEIRO,31811428,"1,722.57"
Department of Health,NHS South West London CCG,######,C&M-PMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,C RIBEIRO,31811428,"7,006.08"
Department of Health,NHS South West London CCG,######,Hlthcre-Foundation Trsts,IMPROVING ACCESS TO PSYCHOLOGICAL THERAPIES,CAMDEN & ISLINGTON NHS FOUNDATION TRUST,31905459,"54,911.77"
Department of Health,NHS South West London CCG,######,Miscellaneous Expenditure (L9),ACUTE COMMISSIONING,CAMDEN & ISLINGTON NHS FOUNDATION TRUST,31730023,"341,600.00"
Department of Health,NHS South West London CCG,######,Miscellaneous Expenditure (L9),ACUTE COMMISSIONING,CAMDEN & ISLINGTON NHS FOUNDATION TRUST,31831299,"341,600.00"
Department of Health,NHS South West London CCG,######,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CANBURY MEDICAL CENTRE,31974177,"5,143.25"
Department of Health,NHS South West London CCG,######,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CANBURY MEDICAL CENTRE,31974177,"68,765.89"
Department of Health,NHS South West London CCG,######,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,CANBURY MEDICAL CENTRE,31974177,"17,124.56"
Department of Health,NHS South West London CCG,######,C&M-GMS PCN DES Clin Pharmacist,PRC DELEGATED CO-COMMISSIONING,CANBURY MEDICAL CENTRE,31974177,"6,301.66"
Department of Health,NHS South West London CCG,######,C&M-GMS PCN DES Clinical Director,PRC DELEGATED CO-COMMISSIONING,CANBURY MEDICAL CENTRE,31974177,"2,565.08"
Department of Health,NHS South West London CCG,######,C&M-GMS PCN DES PCN support,LOCAL ENHANCED SERVICES,CANBURY MEDICAL CENTRE,31974177,"5,326.42"
Department of Health,NHS South West London CCG,######,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CANBURY MEDICAL CENTRE,31974177,"1,320.91"
Department of Health,NHS South West London CCG,######,C&M-GMS PCN DES Soc Prescribing,PRC DELEGATED CO-COMMISSIONING,CANBURY MEDICAL CENTRE,31974177,"11,040.01"
Department of Health,NHS South West London CCG,######,C&M-GMS PCO Locum Adop/Pat/Mat,PRC DELEGATED CO-COMMISSIONING,CANBURY MEDICAL CENTRE,31974177,"8,757.60"
Department of Health,NHS South West London CCG,######,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CANBURY MEDICAL CENTRE,31974177,"13,591.31"
Department of Health,NHS South West London CCG,######,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CANBURY MEDICAL CENTRE,31974177,"1,626.12"
Department of Health,NHS South West London CCG,######,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CANBURY MEDICAL CENTRE,31974177,"5,430.64"
Department of Health,NHS South West London CCG,######,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CARE UK (PRIMARY CARE) LTD,32034855,"104,388.00"
Department of Health,NHS South West London CCG,######,C&M-APMS Contract KPIs,PRC DELEGATED CO-COMMISSIONING,CARE UK CLINICAL SERVICES LTD,31794933,"1,281.92"
Department of Health,NHS South West London CCG,######,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CARE UK CLINICAL SERVICES LTD,31794933,"62,113.07"
Department of Health,NHS South West London CCG,######,C&M-APMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,CARE UK CLINICAL SERVICES LTD,31794933,"1,054.89"
Department of Health,NHS South West London CCG,######,C&M-APMS Prem Actual Rent,PRC DELEGATED CO-COMMISSIONING,CARE UK CLINICAL SERVICES LTD,31794933,"17,600.00"
Department of Health,NHS South West London CCG,######,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CARSHALTON FIELDS SURGERY,31794935,"25,805.71"
Department of Health,NHS South West London CCG,######,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,CARSHALTON FIELDS SURGERY,31794935,"5,339.56"
Department of Health,NHS South West London CCG,######,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CARSHALTON FIELDS SURGERY,31794935,"2,208.33"
Department of Health,NHS South West London CCG,######,SYS-Non NHS A/P-Cutover Bal <1Yr,BALANCE SHEET,CDW,32068378,"47,517.70"
Department of Health,NHS South West London CCG,######,Miscellaneous Expenditure (L9),ACUTE COMMISSIONING,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,31730025,"225,300.00"
Department of Health,NHS South West London CCG,######,Miscellaneous Expenditure (L9),ACUTE COMMISSIONING,CENTRAL & NORTH WEST LONDON NHS FOUNDATION TRUST,31831302,"225,300.00"
Department of Health,NHS South West London CCG,######,Hcare Srv Rec NHS Trust-Prior Year,NCAS/OATS,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,31985382,"-30,077.00"
Department of Health,NHS South West London CCG,######,Hcare Srv Rec NHS Trust-Prior Year,NCAS/OATS,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,32102959,"36,294.95"
Department of Health,NHS South West London CCG,######,Hcare Srv Rec NHS Trust-Prior Year,NCAS/OATS,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,32102961,"26,786.52"
Department of Health,NHS South West London CCG,######,Hcare Srv Rec NHS Trust-Prior Year,NCAS/OATS,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,32102960,"29,144.34"
Department of Health,NHS South West London CCG,######,SYS-NHS A/P Control-Cutover Bal <1Yr,BALANCE SHEET,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,32068383,"25,574.40"
Department of Health,NHS South West London CCG,######,Miscellaneous Expenditure (L9),ACUTE COMMISSIONING,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,31730027,"2,026,900.00"
Department of Health,NHS South West London CCG,######,Miscellaneous Expenditure (L9),ACUTE COMMISSIONING,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,31831304,"2,026,900.00"
