Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS South West London CCG,30/09/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,33956050,"41,541.81"
Department of Health,NHS South West London CCG,30/09/2020,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,33956050,"7,997.32"
Department of Health,NHS South West London CCG,30/09/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,33956050,797.02
Department of Health,NHS South West London CCG,30/09/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,33956050,"3,650.00"
Department of Health,NHS South West London CCG,30/09/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,33956050,"3,108.05"
Department of Health,NHS South West London CCG,30/09/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,A HAFEEZ,33842352,"31,590.33"
Department of Health,NHS South West London CCG,30/09/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,A HAFEEZ,33842352,"6,537.51"
Department of Health,NHS South West London CCG,30/09/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,A HAFEEZ,33842352,608.49
Department of Health,NHS South West London CCG,30/09/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,A HAFEEZ,33842352,"1,883.33"
Department of Health,NHS South West London CCG,30/09/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,A HAFEEZ,33842352,"3,023.11"
Department of Health,NHS South West London CCG,30/09/2020,Cont Care- Prior Year Payments,CHC AD FULL FUND PERS HLTH BUD,ACHIEVING FOR CHILDREN LTD,33992328,"-50,336.00"
Department of Health,NHS South West London CCG,30/09/2020,Cont Care- Prior Year Payments,CHC AD FULL FUND PERS HLTH BUD,ACHIEVING FOR CHILDREN LTD,33992337,"-50,336.00"
Department of Health,NHS South West London CCG,30/09/2020,Cont Care- Prior Year Payments,CHC AD FULL FUND PERS HLTH BUD,ACHIEVING FOR CHILDREN LTD,34012210,"50,336.00"
Department of Health,NHS South West London CCG,30/09/2020,Cont Care- Prior Year Payments,CHC AD FULL FUND PERS HLTH BUD,ACHIEVING FOR CHILDREN LTD,34012212,"50,336.00"
Department of Health,NHS South West London CCG,30/09/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ACORN GROUP PRACTICE,33954183,"58,682.38"
Department of Health,NHS South West London CCG,30/09/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ACORN GROUP PRACTICE,33954183,"1,118.58"
Department of Health,NHS South West London CCG,30/09/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ACORN GROUP PRACTICE,33954183,"13,750.00"
Department of Health,NHS South West London CCG,30/09/2020,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ACORN GROUP PRACTICE,33954183,"9,531.67"
Department of Health,NHS South West London CCG,30/09/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ACORN GROUP PRACTICE,33954183,"4,472.10"
Department of Health,NHS South West London CCG,30/09/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,33820906,"73,681.79"
Department of Health,NHS South West London CCG,30/09/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,33820906,"14,266.70"
Department of Health,NHS South West London CCG,30/09/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,33820906,"1,437.71"
Department of Health,NHS South West London CCG,30/09/2020,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,33820906,220.08
Department of Health,NHS South West London CCG,30/09/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,33820906,"1,798.00"
Department of Health,NHS South West London CCG,30/09/2020,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,33820906,738.1
Department of Health,NHS South West London CCG,30/09/2020,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,33820906,19.14
Department of Health,NHS South West London CCG,30/09/2020,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,33820906,"2,428.85"
Department of Health,NHS South West London CCG,30/09/2020,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ADDISCOMBE ROAD SURGERY,33956515,"26,399.06"
Department of Health,NHS South West London CCG,30/09/2020,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,ADDISCOMBE ROAD SURGERY,33956515,"3,835.54"
Department of Health,NHS South West London CCG,30/09/2020,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ADDISCOMBE ROAD SURGERY,33956515,508.74
Department of Health,NHS South West London CCG,30/09/2020,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADDISCOMBE ROAD SURGERY,33956515,"1,445.83"
Department of Health,NHS South West London CCG,30/09/2020,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADDISCOMBE ROAD SURGERY,33956515,"2,348.46"
Department of Health,NHS South West London CCG,30/09/2020,Clinical&Medical-Voluntary Sector,COMMISSIONING - NON ACUTE,AGE UK CROYDON,34028300,"74,796.00"
Department of Health,NHS South West London CCG,30/09/2020,Clinical&Medical-Independent Sector,INTERMEDIATE CARE,AGE UK SUTTON,33976785,"56,250.00"
Department of Health,NHS South West London CCG,30/09/2020,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,AGRAWAL R K & K,33818498,"21,690.70"
Department of Health,NHS South West London CCG,30/09/2020,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,AGRAWAL R K & K,33818498,"5,375.08"
Department of Health,NHS South West London CCG,30/09/2020,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,AGRAWAL R K & K,33818498,414.61
Department of Health,NHS South West London CCG,30/09/2020,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,AGRAWAL R K & K,33818498,"2,125.00"
