Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department of Health,NHS South West London CCG,31/01/2021,Cont Care- Adult 100% Fully Funded,CHC ADULT FULLY FUNDED,92 HIGHER DRIVE LTD,35300759,"28,104.82"
Department of Health,NHS South West London CCG,31/01/2021,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,A F FROLEY,35366773,"1,728.18"
Department of Health,NHS South West London CCG,31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,35366773,"40,937.38"
Department of Health,NHS South West London CCG,31/01/2021,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,35366773,"13,070.00"
Department of Health,NHS South West London CCG,31/01/2021,C&M-GMS Other FDR Payment,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,35366773,"7,997.32"
Department of Health,NHS South West London CCG,31/01/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,35366773,"1,594.04"
Department of Health,NHS South West London CCG,31/01/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,35366773,"3,650.00"
Department of Health,NHS South West London CCG,31/01/2021,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,35366773,22.56
Department of Health,NHS South West London CCG,31/01/2021,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,35366773,389.67
Department of Health,NHS South West London CCG,31/01/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,A F FROLEY,35366773,"3,108.05"
Department of Health,NHS South West London CCG,31/01/2021,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,A HAFEEZ,35236536,"10,289.00"
Department of Health,NHS South West London CCG,31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,A HAFEEZ,35236536,"31,697.97"
Department of Health,NHS South West London CCG,31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,A HAFEEZ,35236536,"6,537.51"
Department of Health,NHS South West London CCG,31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,A HAFEEZ,35236536,"1,216.98"
Department of Health,NHS South West London CCG,31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,A HAFEEZ,35236536,"1,883.33"
Department of Health,NHS South West London CCG,31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,A HAFEEZ,35236536,"3,023.11"
Department of Health,NHS South West London CCG,31/01/2021,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ACORN GROUP PRACTICE,35368428,"1,501.62"
Department of Health,NHS South West London CCG,31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ACORN GROUP PRACTICE,35368428,"56,960.54"
Department of Health,NHS South West London CCG,31/01/2021,C&M-GMS Other Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ACORN GROUP PRACTICE,35368428,"19,026.00"
Department of Health,NHS South West London CCG,31/01/2021,C&M-GMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ACORN GROUP PRACTICE,35368428,"2,237.16"
Department of Health,NHS South West London CCG,31/01/2021,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ACORN GROUP PRACTICE,35368428,"13,750.00"
Department of Health,NHS South West London CCG,31/01/2021,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ACORN GROUP PRACTICE,35368428,"9,531.67"
Department of Health,NHS South West London CCG,31/01/2021,C&M-GMS Prof Fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ACORN GROUP PRACTICE,35368428,349.64
Department of Health,NHS South West London CCG,31/01/2021,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ACORN GROUP PRACTICE,35368428,"4,472.10"
Department of Health,NHS South West London CCG,31/01/2021,C&M-PMS Baseline Adjustment,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,35235855,"20,991.00"
Department of Health,NHS South West London CCG,31/01/2021,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,35235855,"73,317.37"
Department of Health,NHS South West London CCG,31/01/2021,C&M-PMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,35235855,"4,662.00"
Department of Health,NHS South West London CCG,31/01/2021,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,35235855,"14,266.70"
Department of Health,NHS South West London CCG,31/01/2021,C&M-PMS PCN DES Participation,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,35235855,"2,875.42"
Department of Health,NHS South West London CCG,31/01/2021,C&M-PMS PCO Other,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,35235855,220.08
Department of Health,NHS South West London CCG,31/01/2021,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,35235855,"1,798.00"
Department of Health,NHS South West London CCG,31/01/2021,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,35235855,738.1
Department of Health,NHS South West London CCG,31/01/2021,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,35235855,19.14
Department of Health,NHS South West London CCG,31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,35235855,"2,428.85"
Department of Health,NHS South West London CCG,31/01/2021,C&M-PMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,ADDINGTON MEDICAL PRACTICE,35366886,"15,659.80"
Department of Health,NHS South West London CCG,31/01/2021,C&M-PMS Prof fees Prescribing,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,35366886,"3,593.29"
Department of Health,NHS South West London CCG,31/01/2021,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ADDINGTON MEDICAL PRACTICE,35366886,"20,610.36"
Department of Health,NHS South West London CCG,31/01/2021,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ADDISCOMBE ROAD SURGERY,35366885,"26,117.83"
