Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount 
16/05/2020,NHSLA (AAPV7044ST1150),Risk Management,NHS Litigation Authority,,"1,014,642.50"
26/05/2020,Pfi Service Charge (01/04/2020 - 30/04/2020 ),Trust Finance,Whittington Facilities Ltd,1162531,"576,845.69"
28/05/2020,Building Lease,Estates Projects Main,Community Health Partnerships Ltd,822369,"522,759.67"
07/05/2020,Computer Hardware,Capital,Insight Direct (Uk) Ltd,1156809,"464,028.92"
28/05/2020,Software Maintenance RiO Support & Maintenance Apr - Jun 20,Patient Systems,System C Healthcare Ltd,1163286,"277,782.37"
28/05/2020,Software Maintenance Year 7 Support & Maintenance Apr - Jun 20,Patient Systems,System C Healthcare Ltd,1160467,"275,566.21"
07/05/2020,Rents Q1 2019/20,Estates-St Ann'S Hospital,Barnet Enfield & Haringey Mental Health Nhs T,1158302,"257,607.25"
07/05/2020,Rents Q2 2019/20,Estates-St Ann'S Hospital,Barnet Enfield & Haringey Mental Health Nhs T,1158303,"257,607.25"
07/05/2020,Rents Q3 2019/20,Estates-St Ann'S Hospital,Barnet Enfield & Haringey Mental Health Nhs T,1158304,"257,607.25"
14/05/2020,Rents Q4 2019/20,Estates-St Ann'S Hospital,Barnet Enfield & Haringey Mental Health Nhs T,1158305,"257,607.25"
07/05/2020,Transport Maint & Exps ( February 2020 ),Med Front Of House& Transp,Dhl Supply Chain - Uk&I,1149145,"164,274.68"
28/05/2020,Nhs Logistics Stock Issues 20/03/2020,Control,Supply Chain Coordination Ltd,1152945,"145,804.44"
01/05/2020,Blood Products Apr 2020,Blood Recharge,Nhs Blood And Transplant,1154999,"127,232.15"
21/05/2020,Blood Products May 2020,Blood Recharge,Nhs Blood And Transplant,1158370,"127,232.15"
21/05/2020,Blood Products Jun 2020,Blood Recharge,Nhs Blood And Transplant,1164533,"127,232.15"
14/05/2020,Blood Transfusion Service Mar 20,Blood Recharge,Nhs Blood And Transplant,1163816,"114,112.32"
28/05/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1151077,"112,689.90"
14/05/2020,Med Equ: Med Life 10 Yrs,Capital,Hamilton Medical Ltd,1163923,"111,623.04"
07/05/2020,Transport Maint & Exps (Mar 2020 ),Med Front Of House& Transp,Dhl Supply Chain - Uk&I,1159153,"109,800.36"
07/05/2020,Teaching/Training Expenditure,Director Of Strategy,Federated4health,1161773,"109,079.00"
28/05/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1154741,"109,041.46"
28/05/2020,Rents,Estates-Camden Partnership,Community Health Partnerships Ltd,1136984,"101,428.42"
14/05/2020,Boiler & Calorifiers,Estates-Simmons House,Gas Group Services Ltd,1161657,"96,991.85"
14/05/2020,Electricity,Estates-Hornsey Rise Hc,Edf Energy,1163755,"95,396.96"
28/05/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1159042,"95,368.70"
28/05/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1149135,"95,026.57"
14/05/2020,Miscellaneous Expenses,Trust Finance,Nhs Business Serv Auth,1120051,"89,061.90"
28/05/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1147807,"88,441.15"
28/05/2020,Building Lease,Estates-Holloway Hc Hornsey St,Community Health Partnerships Ltd,1066003,"79,598.94"
28/05/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1145638,"77,537.17"
01/05/2020,General Building Work,C&I Enabling,Norstead Ltd,1156572,"71,169.38"
28/05/2020,Building Lease,Estates-Lordship Lane Clinic,Community Health Partnerships Ltd,1065990,"67,410.14"
28/05/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1157718,"65,579.20"
14/05/2020,License Fees,Patient Systems,Csc Computer Services Ltd,1163217,"64,521.12"
14/05/2020,Cleaning Contracts,Sterile Services (Cont Out),Ihss Ltd,1106152,"61,535.70"
14/05/2020,Main Works Contract,Capital,Hanevo Ltd,1163207,"60,187.20"
01/05/2020,Software Maintenance (01/10/2019 to 30/09/2020) Qty 1 eFinancials Requisitioning Maintenance,Finance Director,Advanced Business Solutions,1123814,"58,087.94"
01/05/2020,Software Maintenance 01/10/2019 to 30/09/2020 Qty 1 Maintenance: V1 (SME) Authorise - Concurre,Finance Director,Advanced Business Solutions,1143244,"57,192.31"
01/05/2020,Laundry Service,Laundry,Berendsen Uk Ltd,1155023,"56,785.96"
28/05/2020,Cleaning Contracts,Generic Workers,Buzz Housekeeping Services,1166080,"56,272.28"
28/05/2020,Building Lease,Estates-Hornsey Central Hc,Community Health Partnerships Ltd,1065987,"53,753.30"
21/05/2020,Computer Hardware,Capital,Insight Direct (Uk) Ltd,1163326,"53,573.90"
21/05/2020,Laundry Service,Laundry,Berendsen Uk Ltd,1162029,"52,910.72"
14/05/2020,Cleaning Contracts,Generic Workers,Buzz Housekeeping Services,1161039,"52,608.99"
01/05/2020,Funeral Expenses,Covid 19,Floyd And Son Independent Funeral Dprectors,1155816,"52,000.00"
01/05/2020,Non Nhs Clinical Services,Covid 19,Deanway Builders Ltd,1155959,"51,660.00"
01/05/2020,Cleaning Contracts,Generic Workers,Buzz Housekeeping Services,1156536,"50,493.17"
28/05/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1162415,"50,104.79"
28/05/2020,Cleaning Contracts,Generic Workers,Buzz Housekeeping Services,1165199,"48,759.44"
01/05/2020,Med Equ: Short Life  5 Yrs,Capital,Bard Ltd,1160872,"48,000.00"
28/05/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1155041,"47,143.32"
28/05/2020,Clinical Waste Disposal,Environmental Mang'T,Leeds Teaching Hospitals Nhs Trust,1166536,"46,996.36"
14/05/2020,Electricity,Environment,Corona Energy Retail Ltd,1163753,"46,661.90"
28/05/2020,Cleaning Contracts,Generic Workers,Buzz Housekeeping Services,1166530,"46,461.53"
28/05/2020,Clinical Waste Disposal,Environmental Mang'T,Leeds Teaching Hospitals Nhs Trust,1162168,"45,881.46"
07/05/2020,Legal Fees,Hr Operations,Dac Beachcroft,1156792,"44,803.02"
28/05/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1163659,"44,273.61"
28/05/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1162618,"44,221.74"
28/05/2020,Nhs Logistics Stock Issues,Control,Supply Chain Coordination Ltd,1156797,"43,260.18"
01/05/2020,Consultant Fees,Capital,Me Construction Ltd,1159273,"41,097.60"
01/05/2020,Med & Surg Equip Purchase,Covid 19,Armstrong Medical,1154176,"40,849.91"
07/05/2020,Computer Hardware,Capital,Insight Direct (Uk) Ltd,1158203,"38,794.90"
21/05/2020,Cleaning Contracts,Estates-Bounds Green Hc,Cordant Cleaning Ltd,1165342,"36,925.28"
21/05/2020,Software Purchase,Imaging,Sectra Ltd,1132308,"36,316.80"
14/05/2020,Main Works Contract,Capital,Hanevo Ltd,1163206,"35,708.40"
07/05/2020,Fittings,Capital,Forest Gate Construction Co Ltd,1157300,"35,175.60"
14/05/2020,Works Costs,Capital,Hanevo Ltd,1163205,"34,486.92"
14/05/2020,Professional Services,Hr Operations,Connected Tech Group Ltd,1163997,"34,080.00"
14/05/2020,Hardware Maintenance,Technical Services,Dell Computer Corp.Ltd,1154788,"33,964.80"
21/05/2020,Cleaning Contracts,Estates-Bounds Green Hc,Cordant Cleaning Ltd,1156423,"32,915.21"
28/05/2020,Building Lease,Estates-Bingfield Hc,Community Health Partnerships Ltd,1065998,"32,915.16"
21/05/2020,Staff Meals,Covid 19,Xlnt-Cafe Fresco,1165130,"30,619.20"
01/05/2020,Blood Analysers,Integrated Blood Science,Ibg Immucor Ltd,1160975,"29,853.23"
21/05/2020,Blood Products,Blood Recharge,Nhs Blood And Transplant,1141439,"28,263.13"
01/05/2020,Professional Services ,Procurement (Whittington),Dhl Supply Chain - Uk&I,1152988,"28,185.00"
28/05/2020,Vat Recovery Expenditure,Trust Finance,Crs Vat Consulting,1099114,"28,012.30"
07/05/2020,Uniforms,Covid 19,Miss Tilly'S Ltd,1160898,"27,500.00"
07/05/2020,Furn & Fittings Purchases,Fatigue & Facilities Payments,Foleys Builders Ltd,1154797,"27,120.00"
21/05/2020,Internet Connections,Technical Services,Wifi Spark Ltd,1149656,"26,568.00"
01/05/2020,Hardware Purchases,Procurement Shared Service,Waltec Solutions Ltd,1159726,"26,100.00"
28/05/2020,Transport Maint & Exps,Transport,Aon Ltd,1165445,"25,632.00"
14/05/2020,Estate & Facility 01 April 2020,Photocopying - Zerox,Xerox Uk Ltd,1163826,"25,496.47"
21/05/2020,Band 8a Nurse/Midwife,Obstetrics & Gynae,University College London,1163976,"25,195.07"
