NHS Abrev,ccg19nm,Count,Value (m),Number of Datasets,Value (%),Count (%),Highest Value Charity Recipient,Number Payments to VCS,Number of Charity Suppliers
AWC,"NHS Airedale, Wharfedale And Craven CCG",3611.0,1214.0,81.0,0.419029718562673,2.1323733037939627,SUE RYDER,77.0,7.0
ASH,NHS Ashford CCG,4913.0,891.0,82.0,2.0095975170679004,6.655811113372685,THE BENENDEN HOSPITAL TRUST,327.0,11.0
BARK,NHS Barking And Dagenham CCG,386.0,116.0,5.0,0.1923271075387238,1.2953367875647668,ST FRANCIS HOSPICE,5.0,4.0
BARNET,NHS Barnet CCG,4324.0,1345.0,44.0,0.8519787421835089,4.602220166512488,THE RICHMOND FELLOWSHIP,199.0,19.0
BARNS,NHS Barnsley CCG,7580.0,2441.0,85.0,0.5696263798190251,1.3984168865435358,BARNSLEY HOSPICE APPEAL,106.0,22.0
BAB,NHS Basildon And Brentwood CCG,3753.0,1384.0,63.0,2.025413929162151,7.647215560884625,ST LUKES HOSPICE BASILDON AND DISTRICT LIMITED,287.0,18.0
BASS,NHS Bassetlaw CCG,2668.0,633.0,57.0,0.17723885306727194,1.0119940029985006,BASSETLAW COMMUNITY AND VOLUNTARY SERVICE,27.0,7.0
BANE,NHS Bath and North East Somerset CCG,4547.0,1212.0,72.0,0.2937458356486712,0.7917308115240819,DOROTHY HOUSE,36.0,10.0
BED,NHS Bedfordshire CCG,7983.0,2747.0,70.0,0.5693461972803442,4.2590504822748345,SUE RYDER,340.0,21.0
BEX,NHS Bexley CCG,3687.0,1064.0,50.0,1.6977045592985296,6.563601844317874,MIND IN BEXLEY LIMITED,242.0,10.0
BIRM,NHS Birmingham And Solihull CCG,7963.0,2869.0,23.0,1.1103142651326403,4.859977395453974,JOHN TAYLOR HOSPICE CHARITY,387.0,49.0
BWD,NHS Blackburn With Darwen CCG,4542.0,1277.0,83.0,0.8215252619278354,2.3778071334214,THE EAST LANCASHIRE HOSPICE,108.0,18.0
BLACK,NHS Blackpool CCG,62.0,19.0,1.0,0.0,0.0,0,0.0,0.0
BOLT,NHS Bolton CCG,1663.0,617.0,25.0,1.266062596468823,4.87071557426338,BOLTON HOSPICE,81.0,15.0
