NHS Abrev,ccg19nm,Count,Value (m),Number of Datasets,Value (%),Count (%),Highest Value Company Recipient,Number Payments to VCS,Number of Company Suppliers
AWC,"NHS Airedale, Wharfedale And Craven CCG",3611.0,1214.0,81.0,2.1035989980311,11.520354472445305,IG MEDICAL LIMITED,416.0,21.0
ASH,NHS Ashford CCG,4913.0,891.0,82.0,5.10666071858656,21.493995522084266,INTEGRATED CARE 24,1056.0,58.0
BARK,NHS Barking And Dagenham CCG,386.0,116.0,5.0,6.245288812937037,23.05699481865285,CARE UK CLINICAL SERVICES LIMITED,89.0,21.0
BARNET,NHS Barnet CCG,4348.0,1346.0,44.0,4.807251558420272,17.61729530818767,UNIVERSITY COLLEGE LONDON,766.0,96.0
BARNS,NHS Barnsley CCG,7581.0,2441.0,85.0,2.6826557592905655,14.008705975464977,BARNSLEY HEALTHCARE FEDERATION COMMUNITY INTEREST COMPANY,1062.0,94.0
BAB,NHS Basildon And Brentwood CCG,3753.0,1384.0,63.0,6.113421899934745,23.79429789501732,INTEGRATED CARE 24,893.0,61.0
BASS,NHS Bassetlaw CCG,2668.0,633.0,57.0,5.9334854920032685,21.401799100449775,LARWOOD LIMITED,571.0,38.0
BANE,NHS Bath and North East Somerset CCG,4547.0,1212.0,72.0,11.732474287341239,19.485374972509348,SIRONA CARE AND HEALTH COMMUNITY INTEREST COMPANY,886.0,40.0
BED,NHS Bedfordshire CCG,7991.0,2748.0,70.0,9.435003937051594,18.095357276936554,CIRCLE CLINICAL SERVICES LIMITED,1446.0,127.0
BEX,NHS Bexley CCG,3687.0,1064.0,50.0,4.181625640155878,18.06346623270952,HURLEY GROUP LIMITED,666.0,48.0
BIRM,NHS Birmingham And Solihull CCG,7965.0,2869.0,23.0,5.619371048948736,23.728813559322035,SPIRE HEALTHCARE LIMITED,1890.0,148.0
BWD,NHS Blackburn With Darwen CCG,4542.0,1277.0,83.0,7.31942227473761,24.08630559225011,BMI HEALTHCARE LIMITED,1094.0,67.0
BLACK,NHS Blackpool CCG,62.0,19.0,1.0,8.557279343830338,9.67741935483871,FCMS NW LIMITED,6.0,5.0
BOLT,NHS Bolton CCG,1663.0,617.0,25.0,7.8049520329520545,30.006013229104028,BMI HEALTHCARE LIMITED,499.0,41.0
BRAC,NHS Bradford City CCG,3057.0,758.0,78.0,2.7989238528873432,10.99116781157998,BEVAN HEALTHCARE COMMUNITY INTEREST COMPANY,336.0,19.0
BRAD,NHS Bradford Districts CCG,7521.0,2504.0,76.0,3.3342682655917875,15.782475734609761,MARIE CURIE,1187.0,94.0
BREN,NHS Brent CCG,93.0,30.0,2.0,4.566240890751884,21.50537634408602,NWLHT ANALYTICAL LIMITED LIABILITY PARTNERSHIP,20.0,12.0
BAH,NHS Brighton And Hove CCG,2479.0,588.0,20.0,6.941808614439239,26.3412666397741,CARE UNBOUND LIMITED,653.0,51.0
BNSGSG,"NHS Bristol, North Somerset And South Gloucestershire CCG",6500.0,2361.0,26.0,16.201016670783545,25.815384615384616,SIRONA CARE AND HEALTH COMMUNITY INTEREST COMPANY,1678.0,122.0
BROM,NHS Bromley CCG,892.0,318.0,9.0,13.396856384655198,32.73542600896861,BROMLEY HEALTHCARE COMMUNITY INTEREST COMPANY,292.0,45.0
BUCK,NHS Buckinghamshire CCG,324.0,77.0,4.0,1.9777907325594528,9.5679012345679,TRINITY HEALTH AND BEAUTY LIMITED,31.0,4.0
BURY,NHS Bury CCG,2919.0,729.0,37.0,4.324278157369841,19.561493662213085,BURY GP PRACTICES LIMITED,571.0,46.0
CAP,NHS Cambridgeshire And Peterborough CCG,14777.0,5046.0,72.0,4.445742413500247,16.363267239629153,HERTS URGENT CARE LIMITED,2418.0,129.0
CAMD,NHS Camden CCG,280.0,49.0,8.0,11.951729148630484,23.57142857142857,MCKINSEY AND COMPANY INC UNITED KINGDOM,66.0,24.0
CANN,NHS Cannock Chase CCG,1521.0,445.0,33.0,2.349030232747511,14.529914529914532,STAFFORDSHIRE DOCTORS URGENT CARE LIMITED,221.0,24.0
CANT,NHS Canterbury And Coastal CCG,6231.0,1579.0,82.0,5.851407531988931,20.55849783341358,BMI HEALTHCARE LIMITED,1281.0,77.0
CPR,NHS Castle Point And Rochford CCG,2192.0,720.0,49.0,4.546353130417603,16.514598540145986,SPIRE HEALTHCARE LIMITED,362.0,36.0
CSR,NHS Chorley And South Ribble CCG,4455.0,1320.0,79.0,3.749863455788866,16.475869809203143,CHORLEY MEDICS LIMITED,734.0,73.0
CAH,NHS City And Hackney CCG,153.0,50.0,3.0,4.3424070941023265,14.37908496732026,CITY AND HACKNEY GP CONFEDERATION COMMUNITY INTEREST COMPANY,22.0,13.0
CWS,NHS Coastal West Sussex CCG,9613.0,4040.0,78.0,3.892609713498088,16.12399875169042,BMI HEALTHCARE LIMITED,1550.0,105.0
COR,NHS Corby CCG,1689.0,389.0,61.0,2.738920236524563,11.959739490822972,ONE MEDICARE TA ONE PRIMARY CARE LIMITED LIABILITY PARTNERSHIP,202.0,23.0
CAR,NHS Coventry And Rugby CCG,7057.0,3231.0,75.0,3.2226908351584407,19.229134192999858,BMI HEALTHCARE LIMITED,1357.0,114.0
CRAW,NHS Crawley CCG,3184.0,1111.0,84.0,1.9332710239513033,7.914572864321608,CARE UNBOUND LIMITED,252.0,36.0
CRO,NHS Croydon CCG,1095.0,331.0,11.0,3.4406894499111758,22.64840182648402,BMI HEALTHCARE LIMITED,248.0,44.0
DARL,NHS Darlington CCG,734.0,176.0,17.0,6.422825204248679,22.070844686648503,BMI HEALTHCARE LIMITED,162.0,28.0
DAD,NHS Derby And Derbyshire CCG,3225.0,1188.0,10.0,4.558887289541705,18.573643410852714,DHU HEALTH CARE COMMUNITY INTEREST COMPANY,599.0,76.0
DEV,NHS Devon CCG,315.0,130.0,1.0,4.163455490773279,14.603174603174605,DEVON DOCTORS LIMITED,46.0,28.0
DONC,NHS Doncaster CCG,6754.0,1948.0,65.0,8.330637747533602,28.871779686111932,THE HESLEY GROUP LIMITED,1950.0,129.0
DORS,NHS Dorset CCG,16579.0,5640.0,78.0,4.9906118346153825,24.621509138066227,BMI HEALTHCARE LIMITED,4082.0,212.0
DUD,NHS Dudley CCG,2884.0,770.0,23.0,4.520659996178528,15.291262135922329,MALLING HEALTH UK LIMITED,441.0,58.0
DDES,"NHS Durham Dales, Easington And Sedgefield CCG",2279.0,686.0,19.0,6.3489929685999344,25.581395348837212,SOUTH DURHAM HEALTH COMMUNITY INTEREST COMPANY,583.0,59.0
EAL,NHS Ealing CCG,754.0,310.0,10.0,2.9252329870422233,16.843501326259947,CARE UK CLINICAL SERVICES LIMITED,127.0,32.0
EANH,NHS East And North Hertfordshire CCG,9730.0,4113.0,83.0,4.2282676563843005,20.688591983556012,HERTS URGENT CARE LIMITED,2013.0,125.0
EBERK,NHS East Berkshire CCG,9419.0,2366.0,145.0,2.029308381999715,10.51066992249708,AMCARE LIMITED,990.0,106.0
EALA,NHS East Lancashire CCG,7986.0,2636.0,65.0,5.735054753120358,20.110192837465565,BMI HEALTHCARE LIMITED,1606.0,96.0
ELAR,NHS East Leicestershire And Rutland CCG,269.0,56.0,2.0,6.933768172260134,16.356877323420075,DHU HEALTH CARE COMMUNITY INTEREST COMPANY,44.0,14.0
ERY,NHS East Riding Of Yorkshire CCG,4059.0,1668.0,60.0,7.628867189182022,18.033998521803397,CITY HEALTH CARE PARTNERSHIP COMMUNITY INTEREST COMPANY,732.0,49.0
ESTA,NHS East Staffordshire CCG,2441.0,599.0,58.0,13.950770088398817,13.519049569848423,VIRGIN CARE SERVICES LIMITED,330.0,27.0
