Charity Name,Count (%),Value (%),Registration Number,Rank,Year
NUFFIELD HEALTH,10.394183281507226,14.68118500778795,205533,1,All Years
THE HEALTHCARE MANAGEMENT TRUST,1.5913663800987747,3.303753024680214,292880,2,All Years
MARIE CURIE,2.5333821108468997,2.8748050978711266,207994,3,All Years
HORDER HEALTHCARE,1.9251874885677704,2.57598840099027,1046624,4,All Years
SUE RYDER,1.669105542344979,2.229644621525419,1052076,5,All Years
BRITISH PREGNANCY ADVISORY SERVICE,3.6354490579842693,2.0808783103769093,289145,6,All Years
ST BARNABAS HOSPICE TRUST (LINCOLNSHIRE),2.0029266508139747,1.9824970581851824,1053814,7,All Years
ST LUKE'S HOSPICE (BASILDON AND DISTRICT) LIMITED,0.4892994329614048,1.8564713006499578,289466,8,All Years
ALTERNATIVE FUTURES GROUP  LIMITED,1.605085055789281,1.432273361602271,1008587,9,All Years
ST HELENA HOSPICE LIMITED,0.2880921895006402,1.3108365168575755,280919,10,All Years
NUFFIELD HEALTH,10.707204230006608,13.561937867699204,205533,1,2013
HORDER HEALTHCARE,2.9742233972240584,4.667349109928561,1046624,2,2013
THE HEALTHCARE MANAGEMENT TRUST,2.1150033046926633,3.421875965962741,292880,3,2013
MARIE CURIE,2.511566424322538,2.9875676019504254,207994,4,2013
SUE RYDER,1.6523463317911435,2.636046323303543,1052076,5,2013
NATIONAL SCHIZOPHRENIA FELLOWSHIP,3.040317250495704,2.5794751483038296,271028,6,2013
ST BARNABAS HOSPICE TRUST (LINCOLNSHIRE),2.6437541308658297,2.358345971822046,1053814,7,2013
BRITISH PREGNANCY ADVISORY SERVICE,3.7012557832121615,2.0751062416814228,289145,8,2013
ALTERNATIVE FUTURES GROUP  LIMITED,2.313284864507601,1.9345866450319396,1008587,9,2013
DOUGLAS MACMILLAN HOSPICE,0.3304692663582287,1.9154992736134666,1071613,10,2013
NUFFIELD HEALTH,11.845018450184503,14.70414401542763,205533,1,2014
HORDER HEALTHCARE,3.4686346863468636,4.82464426661556,1046624,2,2014
THE HEALTHCARE MANAGEMENT TRUST,1.5867158671586716,3.460288518266453,292880,3,2014
ST BARNABAS HOSPICE TRUST (LINCOLNSHIRE),2.6199261992619927,2.7370545638143957,1053814,4,2014
SUE RYDER,1.992619926199262,2.4560019392374186,1052076,5,2014
ST LUKE'S HOSPICE (BASILDON AND DISTRICT) LIMITED,0.959409594095941,2.0763592488209026,289466,6,2014
MARIE CURIE,2.2878228782287824,1.9894807317409047,207994,7,2014
ST HELENA HOSPICE LIMITED,0.44280442804428044,1.9584779368829668,280919,8,2014
ALTERNATIVE FUTURES GROUP  LIMITED,2.3247232472324724,1.857613716385251,1008587,9,2014
BRITISH PREGNANCY ADVISORY SERVICE,2.915129151291513,1.706517637249611,289145,10,2014
NUFFIELD HEALTH,10.47923322683706,12.913914412132307,205533,1,2015
THE HEALTHCARE MANAGEMENT TRUST,1.7891373801916934,3.850151029341752,292880,2,2015
HORDER HEALTHCARE,2.523961661341853,2.600087008854715,1046624,3,2015
ST LUKE'S HOSPICE (BASILDON AND DISTRICT) LIMITED,0.5111821086261981,2.375906027309878,289466,4,2015
MARIE CURIE,2.907348242811502,2.307783756547825,207994,5,2015
SUE RYDER,1.8210862619808306,2.2163260253079025,1052076,6,2015
ST BARNABAS HOSPICE TRUST (LINCOLNSHIRE),2.0447284345047922,2.21496208402981,1053814,7,2015
ALTERNATIVE FUTURES GROUP  LIMITED,1.9488817891373804,2.003114829953111,1008587,8,2015
ST ANNE'S COMMUNITY SERVICES,0.44728434504792336,1.6709235302770704,502224,9,2015
BRITISH PREGNANCY ADVISORY SERVICE,2.619808306709265,1.6476515875936337,289145,10,2015
NUFFIELD HEALTH,12.693082605775688,17.464470865304552,205533,1,2016
THE HEALTHCARE MANAGEMENT TRUST,1.3096037609133646,3.075659424093654,292880,2,2016
HORDER HEALTHCARE,2.048354600402955,2.8545779457944476,1046624,3,2016
MARIE CURIE,1.6118200134318332,2.731814330257234,207994,4,2016
SUE RYDER,2.0147750167897915,2.6817466174927573,1052076,5,2016
ST LUKE'S HOSPICE (BASILDON AND DISTRICT) LIMITED,0.6380120886501007,2.6500414972590756,289466,6,2016
THE ROTHERHAM HOSPICE TRUST,0.33579583613163194,1.5748349556998615,700356,7,2016
BRITISH PREGNANCY ADVISORY SERVICE,3.2236400268636665,1.5652569907424874,289145,8,2016
ST ANNE'S COMMUNITY SERVICES,1.2424445936870383,1.5466856661317399,502224,9,2016
POOLE RIGHTS ORGANISATION ON DISABILITY,1.8468770987239758,1.4706170105512784,1119593,10,2016
NUFFIELD HEALTH,11.18272639381244,15.957553556911488,205533,1,2017
THE HEALTHCARE MANAGEMENT TRUST,1.5468901063486948,3.2811443800675577,292880,2,2017
MARIE CURIE,1.9336126329358685,3.1584849282237504,207994,3,2017
HORDER HEALTHCARE,1.7724782468578795,2.628441845448736,1046624,4,2017
SUE RYDER,2.159200773445053,2.4617808353814246,1052076,5,2017
ST BARNABAS HOSPICE TRUST (LINCOLNSHIRE),2.191427650660651,1.9051773757295216,1053814,6,2017
ST LUKE'S HOSPICE (BASILDON AND DISTRICT) LIMITED,0.515630035449565,1.786713826768988,289466,7,2017
ST MICHAEL'S HOSPICE (INCORPORATING THE FREDA PEARCE FOUNDATION),0.6123106670963584,1.6221872559703987,511179,8,2017
CLINKS,0.7089912987431518,1.5659159262714577,1074546,9,2017
BRITISH PREGNANCY ADVISORY SERVICE,3.3838221076377697,1.5098153990495746,289145,10,2017
NUFFIELD HEALTH,8.731280022605256,12.535072308732872,205533,1,2018
MARIE CURIE,2.797400395591975,3.3620450343355754,207994,2,2018
THE HEALTHCARE MANAGEMENT TRUST,1.9779598756710937,3.1402358951850546,292880,3,2018
BRITISH PREGNANCY ADVISORY SERVICE,4.436281435433739,2.5441936070224394,289145,4,2018
ST BARNABAS HOSPICE TRUST (LINCOLNSHIRE),2.062729584628426,2.2395371542415736,1053814,5,2018
SUE RYDER,1.5258547612319864,2.107194296865081,1052076,6,2018
POOLE RIGHTS ORGANISATION ON DISABILITY,1.186775925402656,1.717461261426803,1119593,7,2018
HORDER HEALTHCARE,1.2150324950551004,1.5945263921776383,1046624,8,2018
CORNWALL CARE LIMITED,2.458321559762645,1.564001538459859,1053486,9,2018
THE ROTHERHAM HOSPICE TRUST,0.3673354054817745,1.295619033693649,700356,10,2018
NUFFIELD HEALTH,8.775179439685113,15.125604468565868,205533,1,2019
MARIE CURIE,3.079416531604538,3.148522779729876,207994,2,2019
THE HEALTHCARE MANAGEMENT TRUST,1.2039824033341051,2.992648824351819,292880,3,2019
BRITISH PREGNANCY ADVISORY SERVICE,4.514934012502894,2.9445024310252608,289145,4,2019
ST BARNABAS HOSPICE TRUST (LINCOLNSHIRE),1.9912016670525583,1.8266584419487788,1053814,5,2019
SUE RYDER,1.0650613567955545,1.7939468724792902,1052076,6,2019
ST LUKE'S HOSPICE (BASILDON AND DISTRICT) LIMITED,0.1620745542949757,1.5614462904820163,289466,7,2019
CORNWALL CARE LIMITED,2.5005788376939106,1.4426937345327562,1053486,8,2019
ST HELENA HOSPICE LIMITED,0.37045612410280154,1.2028531194803889,280919,9,2019
We Are With You,1.7828200972447326,1.1824620903298486,1001957,10,2019
