Company Name,Value (%),Count (%),Rank,Year
BMI HEALTHCARE LIMITED,5.45236769637997,4.870319882381489,1,All Years
NHS PROPERTY SERVICES LIMITED,2.6934599221056676,4.4342463993605215,2,All Years
SPIRE HEALTHCARE LIMITED,4.898034908119197,3.9096735515366055,3,All Years
CARE UK CLINICAL SERVICES LIMITED,2.8607652593236685,2.0090783219378507,4,All Years
COMMUNITY HEALTH PARTNERSHIPS LIMITED,2.0695717501340196,1.7121772271150633,5,All Years
NUFFIELD HEALTH,2.0224350444308756,1.6222504532023923,6,All Years
INTEGRATED CARE 24,1.586612627603684,1.3075067445080435,7,All Years
BUPA CARE HOMES (AKW) LIMITED,0.573844496294163,1.0377264227700302,8,All Years
ADAM HTT LIMITED,0.8252483861873052,0.9941904449234195,9,All Years
CITY HEALTH CARE PARTNERSHIP CIC,2.22937045325474,0.8721469660419373,10,All Years
BMI HEALTHCARE LIMITED,4.704731685235448,5.608793686583991,1,2013
SPIRE HEALTHCARE LIMITED,5.275707043345015,4.410935738444194,2,2013
NHS PROPERTY SERVICES LIMITED,4.432927551081496,2.874859075535513,3,2013
CARE UK CLINICAL SERVICES LIMITED,2.173175345223791,2.8607666290868092,4,2013
NUFFIELD HEALTH,2.5772589635229934,2.282976324689966,5,2013
HS HARMONY LIMITED,2.334022085862973,2.0856820744081173,6,2013
NSL LIMITED,1.2135051345316834,1.507891770011274,7,2013
BUPA CARE HOMES (AKW) LIMITED,0.6668825896832684,1.479706877113867,8,2013
INTEGRATED CARE 24,1.5020478074630972,1.197857948139797,9,2013
HEALTHCARE AT HOME LTD,0.6768184154744403,1.1273957158962795,10,2013
BMI HEALTHCARE LIMITED,6.563126349583219,6.580635961785256,1,2014
SPIRE HEALTHCARE LIMITED,5.679285938694285,4.477399115927564,2,2014
NHS PROPERTY SERVICES LIMITED,4.357500368857665,3.1013831455867678,3,2014
NUFFIELD HEALTH,2.6143546333864376,2.2886068729502353,4,2014
CARE UK CLINICAL SERVICES LIMITED,1.970257375483277,2.053329530871239,5,2014
NSL LIMITED,1.1876997862638872,1.875089120205333,6,2014
INTEGRATED CARE 24,1.6356117830513168,1.6255525452730644,7,2014
BUPA CARE HOMES (AKW) LIMITED,0.8498090144740003,1.6184229288464282,8,2014
ARRIVA TRANSPORT SOLUTIONS LIMITED,1.1729919578438808,1.4972194495936118,9,2014
HEALTHCARE AT HOME LTD,0.7648878872868734,1.2049051761015257,10,2014
BMI HEALTHCARE LIMITED,6.613355664027037,5.729229289407238,1,2015
SPIRE HEALTHCARE LIMITED,5.438014400997968,4.448719490200793,2,2015
NHS PROPERTY SERVICES LIMITED,2.7446879690595885,2.9097030179151138,3,2015
CARE UK CLINICAL SERVICES LIMITED,2.8509372512991638,2.212336178910665,4,2015
NUFFIELD HEALTH,2.0881991533966047,1.9718648551160276,5,2015
INTEGRATED CARE 24,1.5589759922363597,1.5871107370446076,6,2015
BUPA CARE HOMES (AKW) LIMITED,0.805978070771305,1.4308043765780931,7,2015
