Company Name,Value (%),Count (%),Rank,Year
BMI HEALTHCARE LIMITED,5.45236769637997,4.870319882381489,1,All Years
SPIRE HEALTHCARE LIMITED,4.898034908119197,3.9096735515366055,2,All Years
CARE UK CLINICAL SERVICES LIMITED,2.8607652593236685,2.0090783219378507,3,All Years
NHS PROPERTY SERVICES LIMITED,2.6934599221056676,4.4342463993605215,4,All Years
CITY HEALTH CARE PARTNERSHIP CIC,2.22937045325474,0.8721469660419373,5,All Years
COMMUNITY HEALTH PARTNERSHIPS LIMITED,2.0695717501340196,1.7121772271150633,6,All Years
NUFFIELD HEALTH,2.0224350444308756,1.6222504532023923,7,All Years
NOTTINGHAM CITYCARE PARTNERSHIP CIC,1.8134715506742463,0.44820646045363066,8,All Years
CIRCLE NOTTINGHAM LIMITED,1.796948370891032,0.5010205975134533,9,All Years
VIRGIN CARE SERVICES LIMITED,1.6424898795535887,0.49816577929400346,10,All Years
SPIRE HEALTHCARE LIMITED,5.275707043345015,4.410935738444194,1,2013
BMI HEALTHCARE LIMITED,4.704731685235448,5.608793686583991,2,2013
NHS PROPERTY SERVICES LIMITED,4.432927551081496,2.874859075535513,3,2013
PROVIDE COMMUNITY INTEREST COMPANY,3.400193197526278,0.6341600901916573,4,2013
ANGLIAN COMMUNITY ENTERPRISE (ACE) COMMUNITY INTEREST COMPANY,3.3071115103455497,0.3523111612175874,5,2013
CITY HEALTH CARE PARTNERSHIP CIC,3.0768322949134954,0.7891770011273956,6,2013
SERCO LIMITED,2.928752362278591,0.5214205186020293,7,2013
NOTTINGHAM CITYCARE PARTNERSHIP CIC,2.8141402231154578,0.4932356257046223,8,2013
COMMUNITY HEALTH PARTNERSHIPS LIMITED,2.7400413028699786,0.9441939120631342,9,2013
NUFFIELD HEALTH,2.5772589635229934,2.282976324689966,10,2013
BMI HEALTHCARE LIMITED,6.563126349583219,6.580635961785256,1,2014
SPIRE HEALTHCARE LIMITED,5.679285938694285,4.477399115927564,2,2014
NHS PROPERTY SERVICES LIMITED,4.357500368857665,3.1013831455867678,3,2014
