NHS Abrev,Charity Value,Charity Count,Count (%),Value (%),Rank,Year,NHS CCG
STOK,32333649.0,287,7.368421052631578,2.7430007629712216,1,All Years,NHS Stoke On Trent CCG
NAG,2735907.0,21,14.482758620689657,2.4453162098416117,2,All Years,NHS Newcastle Gateshead CCG
HERE,33821412.0,338,5.834627999309512,2.378919720751384,3,All Years,NHS Herefordshire CCG
LEE,144862082.0,1226,6.068706068706069,2.374889802766409,4,All Years,NHS Leeds CCG
HAST,8633952.0,77,7.230046948356808,2.232466007452041,5,All Years,NHS Hartlepool And Stockton-On-Tees CCG
GREE,661665.0,6,5.3097345132743365,2.1897552225876344,6,All Years,NHS Greenwich CCG
VOR,7194179.0,102,6.759443339960239,2.1668170454695606,7,All Years,NHS Vale Royal CCG
WARR,26071076.0,250,6.069434328720563,2.120396449102439,8,All Years,NHS Warrington CCG
NOST,19795519.0,149,4.097909790979098,2.1004501918677785,9,All Years,NHS North Staffordshire CCG
BAB,27636962.0,279,7.434052757793765,1.9956018195378973,10,All Years,NHS Basildon And Brentwood CCG
STOK,4950333.0,36,13.688212927756654,4.444439835705769,1,2013,NHS Stoke On Trent CCG
NOST,3308089.0,19,6.810035842293908,2.555464012116714,2,2013,NHS North Staffordshire CCG
LEE,12178183.0,96,11.085450346420323,2.437549042477551,3,2013,NHS Leeds CCG
HAR,2837818.0,22,5.541561712846348,2.2700907536977475,4,2013,NHS Hastings And Rother CCG
WAB,1593525.0,10,8.547008547008547,2.2006635003388153,5,2013,NHS Wigan Borough CCG
WARR,2573202.0,26,9.15492957746479,2.1254606086879315,6,2013,NHS Warrington CCG
EHS,2672763.0,11,4.280155642023346,2.088440213222946,7,2013,"NHS Eastbourne, Hailsham And Seaford CCG"
MCB,1610213.0,8,3.508771929824561,1.9990874441859714,8,2013,NHS Morecambe Bay CCG
VOR,1279293.0,17,8.292682926829269,1.9538391408094657,9,2013,NHS Vale Royal CCG
ROTH,3497950.0,9,3.7037037037037033,1.8211014151722116,10,2013,NHS Rotherham CCG
HARI,470462.0,5,3.787878787878788,5.153234296344873,1,2014,NHS Haringey CCG
EHS,4211105.0,21,5.384615384615385,3.173668310808437,2,2014,"NHS Eastbourne, Hailsham And Seaford CCG"
STOK,5945598.0,70,10.51051051051051,2.710854064809085,3,2014,NHS Stoke On Trent CCG
VOR,2384393.0,38,9.644670050761421,2.574822800345285,4,2014,NHS Vale Royal CCG
WAB,4485491.0,28,6.349206349206349,2.373148415417768,5,2014,NHS Wigan Borough CCG
WARR,3139082.0,25,6.666666666666667,2.24790949698764,6,2014,NHS Warrington CCG
LEE,18251703.0,154,9.172126265634306,2.1432485457246004,7,2014,NHS Leeds CCG
SS,3839765.0,36,7.775377969762419,2.0718333139599667,8,2014,NHS South Sefton CCG
ROTH,4575618.0,16,3.67816091954023,1.9462157093281192,9,2014,NHS Rotherham CCG
HAR,3840764.0,37,5.377906976744186,1.9014570263911716,10,2014,NHS Hastings And Rother CCG
STOK,2228679.0,32,15.763546798029557,3.298143042286597,1,2015,NHS Stoke On Trent CCG
NOST,1638476.0,8,4.938271604938271,3.067932759365917,2,2015,NHS North Staffordshire CCG
LEE,20650655.0,201,10.870740941049215,2.8757270000668678,3,2015,NHS Leeds CCG
HARI,364000.0,4,2.0100502512562812,2.7860274295115928,4,2015,NHS Haringey CCG
WARR,4607794.0,47,11.163895486935866,2.7074206372704652,5,2015,NHS Warrington CCG
SAS,3815053.0,74,7.855626326963907,2.616021083232447,6,2015,NHS Stafford And Surrounds CCG
VOR,2483641.0,34,7.79816513761468,2.596933088963273,7,2015,NHS Vale Royal CCG
WAB,5433518.0,41,6.867671691792294,2.475935228746494,8,2015,NHS Wigan Borough CCG
HERE,4284431.0,29,3.861517976031957,2.2788549960920026,9,2015,NHS Herefordshire CCG
HAR,4562177.0,28,3.6458333333333335,2.1301506375960724,10,2015,NHS Hastings And Rother CCG
WARR,2480522.0,28,10.144927536231885,2.902467485017556,1,2016,NHS Warrington CCG
HERE,5343095.0,40,5.0,2.7483901242587683,2,2016,NHS Herefordshire CCG
STOK,6087326.0,51,8.16,2.6262625112143,3,2016,NHS Stoke On Trent CCG
HARI,356614.0,6,3.6809815950920246,2.4844506733635052,4,2016,NHS Haringey CCG
NAG,2735907.0,21,14.482758620689657,2.4453162098416117,5,2016,NHS Newcastle Gateshead CCG
LEE,19458433.0,191,4.31638418079096,2.294153293562465,6,2016,NHS Leeds CCG
HAR,5230374.0,40,3.6363636363636362,2.2548053698277477,7,2016,NHS Hastings And Rother CCG
NOST,4160400.0,46,6.108897742363878,2.1935148494111774,8,2016,NHS North Staffordshire CCG
BAB,4427180.0,47,7.3899371069182385,2.04745732649462,9,2016,NHS Basildon And Brentwood CCG
ROTH,5590120.0,39,3.535811423390753,1.7707394763228659,10,2016,NHS Rotherham CCG
CAMD,638788.0,13,6.074766355140187,3.984789893514658,1,2017,NHS Camden CCG
HERE,5877680.0,56,5.594405594405594,2.6943243282962923,2,2017,NHS Herefordshire CCG
BAB,1156354.0,12,6.521739130434782,2.418059415070241,3,2017,NHS Basildon And Brentwood CCG
STOK,8362306.0,66,4.881656804733728,2.3469634586839137,4,2017,NHS Stoke On Trent CCG
LEE,20624441.0,202,4.868643046517233,2.140142546571332,5,2017,NHS Leeds CCG
HAR,5244519.0,33,2.7027027027027026,2.0938152554503446,6,2017,NHS Hastings And Rother CCG
NOST,5577263.0,39,3.032659409020218,1.9943176249279877,7,2017,NHS North Staffordshire CCG
WARR,3801708.0,49,8.277027027027026,1.9097317125200404,8,2017,NHS Warrington CCG
ROTH,5438136.0,36,3.564356435643564,1.881950534738303,9,2017,NHS Rotherham CCG
IOW,2818411.0,13,2.6694045174537986,1.8629694420596852,10,2017,NHS Isle Of Wight CCG
HERE,5695671.0,66,6.145251396648044,2.6944582851955725,1,2018,NHS Herefordshire CCG
BAB,2125436.0,16,7.4074074074074066,2.671351528397177,2,2018,NHS Basildon And Brentwood CCG
LEE,23037528.0,159,4.865361077111383,2.415962129706721,3,2018,NHS Leeds CCG
STOK,3743978.0,25,3.8580246913580245,2.403471886897906,4,2018,NHS Stoke On Trent CCG
WLEI,1118748.0,8,6.451612903225806,2.3616197090335773,5,2018,NHS West Leicestershire CCG
THUR,671099.0,9,6.61764705882353,2.287315316310174,6,2018,NHS Thurrock CCG
HAST,781134.0,10,9.803921568627452,2.155910207419287,7,2018,NHS Hartlepool And Stockton-On-Tees CCG
NOST,2407353.0,15,2.4077046548956664,2.110307137996847,8,2018,NHS North Staffordshire CCG
ROTH,5832333.0,43,4.287138584247258,1.818807716307718,9,2018,NHS Rotherham CCG
KERN,8628776.0,156,9.817495280050347,1.732179837696217,10,2018,NHS Kernow CCG
STOK,1015429.0,7,5.072463768115942,2.772605647347522,1,2019,NHS Stoke On Trent CCG
HERE,6732134.0,79,8.036622583926754,2.6126799316989513,2,2019,NHS Herefordshire CCG
LEE,26817358.0,194,5.739644970414201,2.489867050905548,3,2019,NHS Leeds CCG
WC,3224515.0,13,1.9756838905775076,2.435242836535608,4,2019,NHS West Cheshire CCG
NOST,626153.0,3,2.3622047244094486,2.2304861449768083,5,2019,NHS North Staffordshire CCG
HAST,7101783.0,61,7.068366164542295,2.224877042025377,6,2019,NHS Hartlepool And Stockton-On-Tees CCG
GREE,661665.0,6,5.3097345132743365,2.1897552225876344,7,2019,NHS Greenwich CCG
BAB,6086286.0,39,4.631828978622328,1.9759728511880525,8,2019,NHS Basildon And Brentwood CCG
WARR,4901013.0,39,2.959028831562974,1.9493341671258986,9,2019,NHS Warrington CCG
SAL,2788238.0,16,4.102564102564102,1.8899512939848786,10,2019,NHS Salford CCG
