NHS Abrev,Company Value,Company Count,Count (%),Value (%),Rank,Year,NHS CCG
WL,65332581.0,393,63.28502415458937,50.594879893561185,1,All Years,NHS West London CCG
EACH,110268727.0,1707,55.10006455777921,37.22977164597489,2,All Years,NHS Eastern Cheshire CCG
NAG,5515949.0,71,48.96551724137931,4.9300796782784015,3,All Years,NHS Newcastle Gateshead CCG
HULL,369505626.0,2204,43.86942675159236,18.492435956154214,4,All Years,NHS Hull CCG
KERN,99028783.0,1538,38.818778394750126,7.8205949641237895,5,All Years,NHS Kernow CCG
STOK,107293770.0,1426,36.61103979460847,9.102186176761514,6,All Years,NHS Stoke On Trent CCG
NOCI,234340945.0,1659,34.58411507191995,10.37621338663994,7,All Years,NHS Nottingham City CCG
NEL,268021051.0,1321,33.5705209656925,19.538133643001455,8,All Years,NHS North East Lincolnshire CCG
NK,141431047.0,1134,33.14820228003508,13.933356328898647,9,All Years,NHS North Kirklees CCG
HARI,20801701.0,391,33.02364864864865,15.372431057439373,10,All Years,NHS Haringey CCG
WL,11505740.0,98,71.53284671532847,77.34631475740666,1,2013,NHS West London CCG
EACH,11095588.0,199,58.875739644970416,56.11764467280089,2,2013,NHS Eastern Cheshire CCG
STOK,11631327.0,128,48.669201520912544,10.442677908924525,3,2013,NHS Stoke On Trent CCG
HULL,34495492.0,151,47.0404984423676,13.60926337053181,4,2013,NHS Hull CCG
LEE,26788047.0,311,35.91224018475751,5.361816152269483,5,2013,NHS Leeds CCG
DONC,9712569.0,159,35.73033707865169,4.835204194337715,6,2013,NHS Doncaster CCG
IAES,25255575.0,95,35.714285714285715,15.15490431841513,7,2013,NHS Ipswich And East Suffolk CCG
SHEF,9601948.0,174,33.46153846153846,2.4041128168372516,8,2013,NHS Sheffield CCG
WAB,3757141.0,38,32.47863247863248,5.188624630505625,9,2013,NHS Wigan Borough CCG
BWD,7504118.0,91,32.38434163701068,11.835795804692756,10,2013,NHS Blackburn With Darwen CCG
HARI,3363497.0,72,54.54545454545454,36.84227014307871,1,2014,NHS Haringey CCG
EACH,19370958.0,234,50.0,58.03561814583662,2,2014,NHS Eastern Cheshire CCG
STOK,19084577.0,299,44.8948948948949,8.701480176697444,3,2014,NHS Stoke On Trent CCG
DONC,15367764.0,236,40.90121317157712,7.721894415199817,4,2014,NHS Doncaster CCG
NOCI,36494560.0,225,40.46762589928058,12.55372375730138,5,2014,NHS Nottingham City CCG
BOLT,15495443.0,153,36.60287081339713,9.07945240613581,6,2014,NHS Bolton CCG
HULL,8263312.0,35,34.31372549019608,14.53161491707242,7,2014,NHS Hull CCG
SHEF,20766793.0,313,34.28258488499452,3.6283009125041494,8,2014,NHS Sheffield CCG
IAES,43108121.0,199,32.51633986928105,14.295578745535911,9,2014,NHS Ipswich And East Suffolk CCG
ENF,7953271.0,133,31.074766355140188,4.557514384605155,10,2014,NHS Enfield CCG
EACH,13218631.0,209,53.72750642673522,50.967798279253806,1,2015,NHS Eastern Cheshire CCG
HULL,36907179.0,201,48.08612440191388,16.793827866142315,2,2015,NHS Hull CCG
STOK,5095360.0,92,45.320197044334975,7.540442626302592,3,2015,NHS Stoke On Trent CCG
HARI,4449791.0,90,45.22613065326633,34.058351048334664,4,2015,NHS Haringey CCG
DONC,27748555.0,180,40.63205417607224,15.564954360728564,5,2015,NHS Doncaster CCG
BROM,16687058.0,100,37.3134328358209,13.065212439795962,6,2015,NHS Bromley CCG
WALT,13489623.0,163,36.711711711711715,7.055493635926406,7,2015,NHS Waltham Forest CCG
NEL,35313737.0,165,35.791757049891544,18.38782269895466,8,2015,NHS North East Lincolnshire CCG
NOCI,41689168.0,255,34.552845528455286,10.954781210876655,9,2015,NHS Nottingham City CCG
DORS,45001135.0,642,34.16711016498137,5.234399397229214,10,2015,NHS Dorset CCG
HULL,61940879.0,357,58.23817292006525,20.541915568592387,1,2016,NHS Hull CCG
NAG,5515949.0,71,48.96551724137931,4.9300796782784015,2,2016,NHS Newcastle Gateshead CCG
EACH,10582872.0,207,48.59154929577465,25.223425936578487,3,2016,NHS Eastern Cheshire CCG
HARI,4237518.0,79,48.466257668711656,29.521848408895824,4,2016,NHS Haringey CCG
NEL,39849733.0,180,37.5,21.188139728258403,5,2016,NHS North East Lincolnshire CCG
NOCI,13835180.0,85,35.12396694214876,11.298212299001213,6,2016,NHS Nottingham City CCG
NK,25837359.0,193,33.50694444444444,13.658372424200602,7,2016,NHS North Kirklees CCG
NEES,44475516.0,327,31.655372700871247,14.523965815092534,8,2016,NHS North East Essex CCG
BANE,18400507.0,90,30.303030303030305,19.891875285789183,9,2016,NHS Bath and North East Somerset CCG
NORW,7349072.0,154,30.19607843137255,3.815813974904548,10,2016,NHS Norwich CCG
EACH,14552319.0,279,55.800000000000004,30.140569369220096,1,2017,NHS Eastern Cheshire CCG
NEL,39555167.0,226,42.803030303030305,20.622387867966392,2,2017,NHS North East Lincolnshire CCG
CRO,2213447.0,44,40.74074074074074,6.717648980824636,3,2017,NHS Croydon CCG
HULL,64244927.0,383,38.3,18.659167948693874,4,2017,NHS Hull CCG
NOCI,41616926.0,282,35.83227445997459,11.643547104756234,5,2017,NHS Nottingham City CCG
SOME,47986166.0,478,31.78191489361702,7.819965239229128,6,2017,NHS Somerset CCG
OLD,15844735.0,218,31.686046511627907,11.176643839174286,7,2017,NHS Oldham CCG
STOK,34839285.0,428,31.65680473372781,9.777988131703694,8,2017,NHS Stoke On Trent CCG
GHUD,35471989.0,172,29.757785467128027,14.062846440967874,9,2017,NHS Greater Huddersfield CCG
WIRR,23668772.0,200,29.112081513828237,5.9848148847494445,10,2017,NHS Wirral CCG
WL,11573356.0,81,59.12408759124088,38.011613335284274,1,2018,NHS West London CCG
