NHS Abrev,Company Value,Company Count,Count (%),Value (%),Rank,Year,NHS CCG
WL,65332581.0,393,63.28502415458937,50.594879893561185,1,All Years,NHS West London CCG
EACH,110268727.0,1707,55.10006455777921,37.22977164597489,2,All Years,NHS Eastern Cheshire CCG
MED,50738709.0,295,28.89324191968658,19.77678804964231,3,All Years,NHS Medway CCG
NEL,268021051.0,1321,33.5705209656925,19.538133643001455,4,All Years,NHS North East Lincolnshire CCG
HWLH,43178689.0,164,17.065556711758585,19.050877889165704,5,All Years,NHS High Weald Lewes Havens CCG
HULL,369505626.0,2204,43.86942675159236,18.492435956154214,6,All Years,NHS Hull CCG
KING,125123994.0,575,20.013922728854855,16.888734012047642,7,All Years,NHS Kingston CCG
BNSGSG,382611126.0,1678,25.815384615384616,16.201016670783545,8,All Years,"NHS Bristol, North Somerset And South Gloucestershire CCG"
HARI,20801701.0,391,33.02364864864865,15.372431057439373,9,All Years,NHS Haringey CCG
ESTA,83701733.0,330,13.519049569848423,13.950770088398817,10,All Years,NHS East Staffordshire CCG
WL,11505740.0,98,71.53284671532847,77.34631475740666,1,2013,NHS West London CCG
EACH,11095588.0,199,58.875739644970416,56.11764467280089,2,2013,NHS Eastern Cheshire CCG
BANE,21706125.0,62,21.908127208480565,18.325072675767785,3,2013,NHS Bath and North East Somerset CCG
NEL,21037097.0,55,22.633744855967077,15.98858649561585,4,2013,NHS North East Lincolnshire CCG
IAES,25255575.0,95,35.714285714285715,15.15490431841513,5,2013,NHS Ipswich And East Suffolk CCG
HULL,34495492.0,151,47.0404984423676,13.60926337053181,6,2013,NHS Hull CCG
MESS,32721762.0,110,15.23545706371191,13.410721433781386,7,2013,NHS Mid Essex CCG
NEES,36070249.0,136,24.156305506216697,12.845831516383674,8,2013,NHS North East Essex CCG
BWD,7504118.0,91,32.38434163701068,11.835795804692756,9,2013,NHS Blackburn With Darwen CCG
STOK,11631327.0,128,48.669201520912544,10.442677908924525,10,2013,NHS Stoke On Trent CCG
EACH,19370958.0,234,50.0,58.03561814583662,1,2014,NHS Eastern Cheshire CCG
HARI,3363497.0,72,54.54545454545454,36.84227014307871,2,2014,NHS Haringey CCG
SD,15897915.0,33,15.639810426540285,25.784334186479636,3,2014,NHS Surrey Downs CCG
BANE,35427766.0,145,27.204502814258912,18.8403184136947,4,2014,NHS Bath and North East Somerset CCG
KING,13482803.0,56,22.950819672131146,18.785315111093155,5,2014,NHS Kingston CCG
NEL,32619684.0,129,30.787589498806682,18.162711868596954,6,2014,NHS North East Lincolnshire CCG
NEES,56099345.0,270,26.973026973026975,15.812012436470551,7,2014,NHS North East Essex CCG
HULL,8263312.0,35,34.31372549019608,14.53161491707242,8,2014,NHS Hull CCG
IAES,43108121.0,199,32.51633986928105,14.295578745535911,9,2014,NHS Ipswich And East Suffolk CCG
WS,19005937.0,86,30.3886925795053,13.27506622084014,10,2014,NHS West Suffolk CCG
EACH,13218631.0,209,53.72750642673522,50.967798279253806,1,2015,NHS Eastern Cheshire CCG
HARI,4449791.0,90,45.22613065326633,34.058351048334664,2,2015,NHS Haringey CCG
SD,63361179.0,109,11.834961997828447,22.785536213578897,3,2015,NHS Surrey Downs CCG
BANE,20290775.0,102,31.48148148148148,19.36103838223625,4,2015,NHS Bath and North East Somerset CCG
NEL,35313737.0,165,35.791757049891544,18.38782269895466,5,2015,NHS North East Lincolnshire CCG
KING,17929931.0,94,26.780626780626783,17.466777049069304,6,2015,NHS Kingston CCG
HULL,36907179.0,201,48.08612440191388,16.793827866142315,7,2015,NHS Hull CCG
DONC,27748555.0,180,40.63205417607224,15.564954360728564,8,2015,NHS Doncaster CCG
WS,17154937.0,79,30.038022813688215,13.14812685831502,9,2015,NHS West Suffolk CCG
BROM,16687058.0,100,37.3134328358209,13.065212439795962,10,2015,NHS Bromley CCG
HARI,4237518.0,79,48.466257668711656,29.521848408895824,1,2016,NHS Haringey CCG
EACH,10582872.0,207,48.59154929577465,25.223425936578487,2,2016,NHS Eastern Cheshire CCG
ESTA,33631387.0,78,16.082474226804123,24.47362589096006,3,2016,NHS East Staffordshire CCG
NEL,39849733.0,180,37.5,21.188139728258403,4,2016,NHS North East Lincolnshire CCG
HULL,61940879.0,357,58.23817292006525,20.541915568592387,5,2016,NHS Hull CCG
BANE,18400507.0,90,30.303030303030305,19.891875285789183,6,2016,NHS Bath and North East Somerset CCG
KING,15637342.0,70,21.53846153846154,16.842475343605585,7,2016,NHS Kingston CCG
SD,31824371.0,273,28.767123287671232,15.59443913409064,8,2016,NHS Surrey Downs CCG
NEES,44475516.0,327,31.655372700871247,14.523965815092534,9,2016,NHS North East Essex CCG
WILT,60035045.0,239,19.494290375203917,14.076243117092147,10,2016,NHS Wiltshire CCG
ESTA,32357357.0,55,13.85390428211587,31.89827542516722,1,2017,NHS East Staffordshire CCG
EACH,14552319.0,279,55.800000000000004,30.140569369220096,2,2017,NHS Eastern Cheshire CCG
CAMD,3950379.0,49,22.897196261682243,24.642651888815287,3,2017,NHS Camden CCG
BAB,11056000.0,52,28.26086956521739,23.119273936023557,4,2017,NHS Basildon And Brentwood CCG
HWLH,19633435.0,62,17.079889807162534,22.204978957818895,5,2017,NHS High Weald Lewes Havens CCG
HARI,4165293.0,67,23.674911660777383,21.52603309163512,6,2017,NHS Haringey CCG
NEL,39555167.0,226,42.803030303030305,20.622387867966392,7,2017,NHS North East Lincolnshire CCG
KING,35180074.0,153,21.857142857142858,19.15825200215021,8,2017,NHS Kingston CCG
HULL,64244927.0,383,38.3,18.659167948693874,9,2017,NHS Hull CCG
WILT,82945987.0,291,14.824248599083036,16.545724732648594,10,2017,NHS Wiltshire CCG
