NHS Abrev,Charity Value,Charity Count,Count (%),Value (%),Rank,Year,NHS Trust
DHC,26028044.0,312,19.987187700192184,20.304300635195585,1,All Years,Derbyshire Healthcare NHS Foundation Trust
HUM,887228.0,28,13.658536585365855,2.6540958073819048,2,All Years,Humber Teaching NHS Foundation Trust
CCS,3415635.0,96,11.895910780669144,5.717071243173575,3,All Years,Cambridgeshire Community Services NHS Trust
GMM,10714918.0,192,9.370424597364568,5.489936858479765,4,All Years,Greater Manchester Mental Health NHS Foundation Trust
NOR,8935734.0,184,8.949416342412452,4.984376698945056,5,All Years,Northamptonshire Healthcare NHS Foundation Trust
NAS,17790850.0,239,7.937562271670541,6.971395157800747,6,All Years,Norfolk and Suffolk NHS Foundation Trust
HPU,4822372.0,94,7.899159663865546,3.8961619624799946,7,All Years,Hertfordshire Partnership University NHS Foundation Trust
LIP,6086158.0,57,7.7656675749318795,8.872594799814761,8,All Years,Lincolnshire Partnership NHS Foundation Trust
MIP,6533285.0,90,7.653061224489796,6.958675440414187,9,All Years,Midlands Partnership NHS Foundation Trust
NOT,23766975.0,324,7.458563535911603,7.751418191890883,10,All Years,Nottinghamshire Healthcare NHS Foundation Trust
LIN,5501489.0,50,16.5016501650165,20.466599217092888,1,2013,Lincolnshire Community Health Services NHS Trust
LIP,2411569.0,23,15.54054054054054,17.87749002625466,2,2013,Lincolnshire Partnership NHS Foundation Trust
NEA,1417929.0,38,15.384615384615385,10.899019677097684,3,2013,North East Ambulance Service NHS Foundation Trust
NOT,1729858.0,21,9.58904109589041,11.233352574463922,4,2013,Nottinghamshire Healthcare NHS Foundation Trust
RDS,423773.0,12,8.16326530612245,4.896928004563054,5,2013,Rotherham Doncaster and South Humber NHS Foundation Trust
CAW,974870.0,25,6.561679790026247,2.9831182259077336,6,2013,Coventry and Warwickshire Partnership NHS Trust
CHE,974870.0,25,6.561679790026247,2.9831182259077336,7,2013,Chelsea and Westminster Hospital NHS Foundation Trust
NAS,1571525.0,20,6.024096385542169,6.829332417845069,8,2013,Norfolk and Suffolk NHS Foundation Trust
WYE,863232.0,15,5.660377358490567,2.093580246997417,9,2013,Wye Valley NHS Trust
BAS,939520.0,19,5.205479452054795,2.2964861600972917,10,2013,Birmingham and Solihull Mental Health NHS Foundation Trust
NEA,1463643.0,38,25.0,17.170133947980105,1,2014,North East Ambulance Service NHS Foundation Trust
DHC,3303291.0,51,23.72093023255814,20.993212411303865,2,2014,Derbyshire Healthcare NHS Foundation Trust
DHU,2169432.0,28,9.271523178807946,5.003588766147141,3,2014,Dorset Healthcare University NHS Foundation Trust
