NHS Abrev,Company Value,Company Count,Count (%),Value (%),Rank,Year,NHS Trust
BER,11818561.0,117,92.85714285714286,96.07807399676628,1,All Years,Berkshire Healthcare NHS Foundation Trust
NTH,921643110.0,10128,89.72360028348689,87.3834100546573,2,All Years,North Tees and Hartlepool NHS Foundation Trust
EMA,23923348.0,347,88.29516539440203,92.87852622096234,3,All Years,East Midlands Ambulance Service NHS Trust
BAW,518075565.0,6194,86.17139677239845,84.38004913144037,4,All Years,University Hospitals Bristol and Weston NHS Foundation Trust
YAS,306380226.0,2240,84.17888012025554,89.3183656953919,5,All Years,Yorkshire Ambulance Service NHS Trust
RBE,75034242.0,859,81.88751191611058,71.92846924021057,6,All Years,Royal Berkshire NHS Foundation Trust
HAM,89294717.0,994,80.68181818181817,44.80852670502316,7,All Years,Hampshire Hospitals NHS Foundation Trust
LEE,1287353200.0,12956,80.1335972290945,50.18058025609506,8,All Years,Leeds Teaching Hospitals NHS Trust
YTH,174168654.0,1242,79.36102236421725,51.03126913980381,9,All Years,York Teaching Hospital NHS Foundation Trust
BHR,365571504.0,1740,79.30720145852325,78.36512479775382,10,All Years,"Barking, Havering and Redbridge University Hospitals NHS Trust"
YAS,32344438.0,226,91.12903225806451,96.33972386521033,1,2013,Yorkshire Ambulance Service NHS Trust
BAW,77538452.0,805,88.26754385964912,88.03672492258058,2,2013,University Hospitals Bristol and Weston NHS Foundation Trust
NEA,11523667.0,215,87.04453441295547,88.57754752552577,3,2013,North East Ambulance Service NHS Foundation Trust
SEC,12506636.0,251,80.70739549839229,80.62982708341043,4,2013,South East Coast Ambulance Service NHS Foundation Trust
KIN,155233739.0,1592,79.36191425722832,71.94878421140106,5,2013,King's College Hospital NHS Foundation Trust
BAT,53805932.0,577,79.04109589041096,80.9347273369729,6,2013,Basildon and Thurrock University Hospitals NHS Foundation Trust
LAS,34035075.0,422,79.02621722846442,82.21822022766678,7,2013,London Ambulance Service NHS Trust
ELH,41434553.0,494,75.53516819571865,74.7687669509354,8,2013,East Lancashire Hospitals NHS Trust
RBH,23337383.0,320,73.39449541284404,62.77981510750729,9,2013,Royal Brompton and Harefield NHS Foundation Trust
WHH,53740900.0,650,72.54464285714286,66.5684540352337,10,2013,West Hertfordshire Hospitals NHS Trust
YAS,43489523.0,309,90.0874635568513,95.99125399502589,1,2014,Yorkshire Ambulance Service NHS Trust
BAW,84067267.0,989,89.42133815551537,89.59705476050107,2,2014,University Hospitals Bristol and Weston NHS Foundation Trust
NEA,7291142.0,127,83.55263157894737,85.53307382588757,3,2014,North East Ambulance Service NHS Foundation Trust
BAT,11634355.0,147,83.52272727272727,86.21035752420656,4,2014,Basildon and Thurrock University Hospitals NHS Foundation Trust
LEE,24148828.0,265,79.57957957957959,62.23077890431406,5,2014,Leeds Teaching Hospitals NHS Trust
SEC,9469464.0,145,78.37837837837837,81.95015365874492,6,2014,South East Coast Ambulance Service NHS Foundation Trust
