,query_string_n,CompanyNumber,CompanyName,audit_type,CHnotes,isCIC,count,amount,match_0_n,match_1_n,match_2_n,score_0_n,score_1_n,score_2_n,match_0_n_lev,match_1_n_lev,match_2_n_lev
0,ABOVE AND BEYOND,10394287,ABOVE AND BEYOND,"2: CC: 4 corrected now perf name match, CH: 1 existing perfect name match",only health-related straight Above and Beyond local to only NHS cust (Bristol & Weston Hosp Trust),0 not CIC,31,1685625.0,ABOVE AND BEYOND,ABOVE AND BEYOND,ABOVE AND BEYOND,21.248404999999998,21.248404999999998,21.248404999999998,0.0,0.0,0.0
1,ABOVE N BEYOND LIMITED,07945787,ABOVE N BEYOND LIMITED,2: CH: 1 existing perfect name match,best match to cust Bradford exparea Mental Hlth despite alt in CCnotes & local 11360704 Abuv & Beyond inc too recent,0 not CIC,1,28831.0,ABOVE N BEYOND LIMITED,ABOVE AND BEYOND,ABOVE AND BEYOND,22.476744,21.248404999999998,21.248404999999998,0.0,10.0,10.0
2,ABUNDANT GRACE,01337123,SOUTH COAST NURSING HOMES LIMITED,2: CH: 5 corrected imperf name match,listed by CQC as provider at Abundant Grace Care Home,0 not CIC,43,1607646.0,ABUNDANT GRACE,ABUNDANT GRACE MINISTRIES,ABUNDANT GRACE MINISTRY,21.429306,18.751286,18.751286,0.0,11.0,9.0
3,ACCELERATE COMMUNITY INTEREST COMPANY,07733466,ACCELERATE HEALTH CIC,2: CH: 3 existing accepted imperfect name match,T/A Accelerate CIC,1 CIC,4,80000.0,ACCELERATE HEALTH COMMUNITY INTEREST COMPANY,I ACCELERATOR COMMUNITY INTEREST COMPANY,HATCH BUSINESS ACCELERATOR COMMUNITY INTEREST COMPANY,19.650595000000003,19.650595000000003,17.864487,7.0,4.0,17.0
4,ACCELERATEAA COMMUNITY INTEREST COMPANY,07733466,ACCELERATE HEALTH CIC,2: CH: 3 existing accepted imperfect name match,T/A Accelerate CIC,1 CIC,1,80000.0,COMMUNITY INTEREST CAPITAL COMMUNITY INTEREST COMPANY,COMMUNITY INTEREST LUTON COMMUNITY INTEREST COMPANY,COMMUNITY INTERESTS ASSEMBLE COMMUNITY INTEREST COMPANY,14.326851000000001,14.326851000000001,14.326851000000001,21.0,21.0,24.0
5,ACCESSPLUS,04290300,ACCESSPLUS HOLDINGS LIMITED,2: CH: 5 corrected imperf name match,"web refs confirm AccessPlus got Nottm Univ Hosp Tt stationery contract 2009. renamed 2016, diss 25/4/18. all pymts 2016",0 not CIC,6,418485.0,,,,,,,,,
6,ACCOUNT TRUST,08865628,ACCOUNT TRUST COMMUNITY INTEREST COMPANY,2: CH: 4 corrected now perf name match,CCnotes> development of a training project for NHSE in Bham. So the supplier name seems likely to refer to this CIC,1 CIC,1,31175.0,TRUST ACCOUNTANCY LIMITED,TRUST ACCOUNTANTS LIMITED,TRUST ACCOUNTING LIMITED,10.471103999999999,10.471103999999999,10.471103999999999,16.0,16.0,15.0
7,ACE CENTRE,04268143,THE ACE CENTRENORTH,"2: CC: 5 corrected imperf name match, CH: 5 corrected imperf name match","comms assistive tech for the disabled, trades as Ace Centre, and has a South Hub depite reg name. sole cust Cambridge",0 not CIC,1,17254481.0,ACE CENTRE,ACE CENTRE,THE ACE CENTRE,15.170364000000001,15.170364000000001,15.170364000000001,0.0,0.0,4.0
8,ACE CENTRE NORTH,04268143,THE ACE CENTRENORTH,"2: CC: 4 corrected now perf name match, CH: 4 corrected now perf name match",worth finding: >17m in 60 payments!,0 not CIC,60,17254481.0,ACE CENTRE,ACE CENTRE,THE ACE CENTRE,15.170364000000001,15.170364000000001,15.170364000000001,6.0,6.0,10.0
9,ACHIEVING FOR CHILDREN LIMITED,08878185,ACHIEVING FOR CHILDREN COMMUNITY INTEREST COMPANY,2: CH: 4 corrected now perf name match,became CIC 17/4/14 just before 1st NHS pymt 11/7/14. Twickenham locn nr all NHS custs except 1 pymt Bath (BNSGSG CCG),1 CIC,47,2639490.0,CHILDREN ACHIEVING,ACHIEVING FOR CHILDREN COMMUNITY INTEREST COMPANY,PEACH PARENTS EQUALLY ACHIEVING CHILDRENS HAPPINESS,19.281147,13.497910500000001,12.271041,21.0,22.0,34.0
