CCG,Opening DfT,Minimum allocation,Minimum growth,Final allocation,Final growth,Per capita allocation,Per capita growth,Final per capita growth,Final closing DfT
NHS Darlington CCG,1.54%,154148,2.08%,154148,2.08%,1427,1.89%,1.23%,108033
"NHS Durham Dales, Easington and Sedgefield CCG",5.33%,467703,2.08%,467703,2.08%,1587,1.66%,4.77%,294619
NHS North Durham CCG,5.74%,360354,1.92%,360354,1.92%,1413,1.58%,5.09%,255067
NHS Hartlepool and Stockton-on-Tees CCG,-0.35%,421648,2.08%,421648,2.08%,1404,1.58%,-0.96%,300400
NHS Northumberland CCG,4.38%,476123,2.08%,476123,2.08%,1466,1.89%,4.06%,324863
NHS South Tees CCG,1.45%,438934,2.08%,438934,2.08%,1486,1.92%,1.17%,295408
NHS South Tyneside CCG,7.18%,252439,1.30%,253385,1.68%,1615,1.40%,6.34%,156936
NHS Sunderland CCG,14.22%,448164,0.02%,448164,0.02%,1571,-0.08%,11.67%,285183
NHS Cumbria CCG,3.97%,763749,2.08%,763749,2.08%,1464,2.06%,3.83%,521739
NHS North Tyneside CCG,4.79%,326341,2.08%,326341,2.08%,1470,1.48%,4.05%,221976
NHS Eastern Cheshire CCG,-2.53%,260003,2.08%,260003,2.08%,1238,1.59%,-3.11%,210090
NHS Halton CCG,4.48%,203162,2.08%,203162,2.08%,1550,1.86%,4.13%,131090
NHS Knowsley CCG,6.03%,275826,1.69%,275826,1.69%,1693,1.60%,5.41%,162887
NHS South Cheshire CCG,-3.01%,233581,2.08%,233581,2.08%,1279,1.72%,-3.47%,182629
NHS South Sefton CCG,6.43%,248075,1.51%,248075,1.51%,1600,1.46%,5.65%,155087
NHS Southport and Formby CCG,3.62%,188801,2.08%,188801,2.08%,1513,1.85%,3.26%,124816
NHS St Helens CCG,0.87%,302618,2.08%,302618,2.08%,1523,1.66%,0.34%,198656
NHS Vale Royal CCG,-2.22%,135819,2.08%,135819,2.08%,1299,1.89%,-2.51%,104519
NHS Warrington CCG,-1.05%,285675,2.10%,285925,2.19%,1294,1.45%,-1.79%,220940
NHS West Cheshire CCG,-1.38%,347966,2.08%,347966,2.08%,1327,1.80%,-1.77%,262192
NHS Wirral CCG,-0.83%,516636,2.08%,516636,2.08%,1533,1.87%,-1.15%,337055
NHS Liverpool CCG,6.25%,807364,1.64%,807364,1.64%,1582,1.46%,5.48%,510476
NHS Bolton CCG,-2.81%,414017,2.08%,414993,2.32%,1344,1.72%,-3.27%,308788
NHS Bury CCG,-3.64%,261457,2.08%,261457,2.08%,1282,1.52%,-4.28%,204016
NHS Central Manchester CCG,-3.78%,270211,2.08%,270211,2.08%,1173,1.60%,-4.35%,230263
NHS Oldham CCG,0.72%,341833,2.08%,341833,2.08%,1356,1.65%,0.18%,252036
"NHS Heywood, Middleton and Rochdale CCG",-2.33%,324713,2.08%,324713,2.08%,1415,1.81%,-2.71%,229552
NHS Salford CCG,-2.20%,390640,2.30%,390640,2.30%,1444,1.36%,-3.01%,270609
NHS North Manchester CCG,-4.09%,299639,2.08%,301096,2.57%,1438,1.92%,-4.36%,209449
NHS South Manchester CCG,3.40%,248491,2.08%,248491,2.08%,1402,1.36%,2.55%,177303
NHS Stockport CCG,-3.73%,415270,2.08%,415270,2.08%,1331,1.58%,-4.31%,312051
NHS Tameside and Glossop CCG,-0.04%,357739,2.08%,357739,2.08%,1434,1.49%,-0.74%,249501
