time_index,nominal_gdp,pesa_2011_pc,pesa_2019_hc_pc,pesa_2011_hc_nom,Pesa_2019_hc_nom,pesa_merged_nom,pesa_merged_pc
1985,614508,3.64519257682569,0,22.4,,22.4,3.64519257682569
1990,668915,3.61779897296368,0,24.2,,24.2,3.61779897296368
1991,705448,3.84153048842721,0,27.1,,27.1,3.84153048842721
1992,730561,4.22962627350762,0,30.9,,30.9,4.22962627350762
1993,769143,4.44650734648824,0,34.2,,34.2,4.44650734648824
1994,809469,4.52148260155732,0,36.6,,36.6,4.52148260155732
1995,850162,4.63441085346087,0,39.4,,39.4,4.63441085346087
1996,907245,4.56326571102624,4.56326571102624,41.4,41.4,41.4,4.56326571102624
1997,952285,4.49445281612122,4.49445281612122,42.8,42.8,42.8,4.49445281612122
1998,996374,4.46619442097044,4.46619442097044,44.5,44.5,44.5,4.46619442097044
1999,1039891,4.51008807653879,4.51008807653879,46.9,46.9,46.9,4.51008807653879
2000,1095651,4.50873498951765,4.50873498951765,49.4,49.4,49.4,4.50873498951765
2001,1139479,4.75655979618756,4.75655979618756,54.2,54.2,54.2,4.75655979618756
2002,1190601,5.02267342291834,5.02267342291834,59.8,59.8,59.8,5.02267342291834
2003,1257474,5.2645223678581,5.2645223678581,66.2,66.2,66.2,5.2645223678581
2004,1320128,5.67369224802444,5.67369224802444,74.9,74.9,74.9,5.67369224802444
2005,1396274,5.9372300852125,5.9372300852125,82.9,82.9,82.9,5.9372300852125
2006,1474923,6.08845343112827,6.08845343112827,89.8,89.8,89.8,6.08845343112827
2007,1549821,6.11038307004486,6.11038307004486,94.7,94.7,94.7,6.11038307004486
2008,1589931,6.43424148595128,6.35876651250903,102.3,101.1,101.1,6.35876651250903
2009,1547563,7.11441149730253,7.02394668262294,110.1,108.7,108.7,7.02394668262294
2010,1601927,7.38485586421853,7.29746112026328,118.3,116.9,116.9,7.29746112026328
2011,1659784,0,7.22383153470572,,119.9,119.9,7.22383153470572
2012,1712321,0,7.08395213280687,,121.3,121.3,7.08395213280687
2013,1782109,0,6.97488200777842,,124.3,124.3,6.97488200777842
2014,1861964,0,6.94965101366084,,129.4,129.4,6.94965101366084
2015,1916896,0,6.99568469024924,,134.1,134.1,6.99568469024924
2016,1995479,0,6.94068942845302,,138.5,138.5,6.94068942845302
2017,2071667,0,6.88334563421631,,142.6,142.6,6.88334563421631
2018,2144304,0,6.86936180690798,,147.3,147.3,6.86936180690798
2019,2214888,0,6.90328359718415,,152.9,152.9,6.90328359718415
