verif_match,amount,count,regno,regdate,ICNPO,income,CC Rank
NUFFIELD HEALTH,279219952,2072,205533,1962-09-22,3100,4835600000.0,6
MARIE STOPES INTERNATIONAL,41907581,1081,265543,1973-05-09,3400,1603164000.0,58
BPAS,39187583,782,289145,1984-04-25,3400,207800000.0,1366
MARIE CURIE,54672375,515,207994,1962-09-22,3400,1091030000.0,243
ALZHEIMERS SOCIETY,22784246,479,296645,1987-04-23,3400,666008000.0,423
ST BARNABAS HOSPICE,48084953,460,1053814,1996-03-15,3200,76315321.0,4444
ST ANDREWS HEALTHCARE,14164414,385,1104951,2004-07-16,3300,1369600000.0,192
METHODIST HOMES,14675393,350,1083995,2000-12-04,6200,1429769000.0,178
ALTERNATIVE FUTURES GROUP LIMITED,27303996,344,1008587,1992-02-21,4100,407220055.0,573
RETHINK,18298907,305,271028,1991-10-31,3300,274092072.0,1111
