classtext,amo_ccg,cou_ccg,amo_tr,cou_tr,amo_eng,cou_eng
Accommodation/housing,1.75,2.26,2.15,2.12,0.8,1.74
Acts As An Umbrella Or Resource Body,0.98,2.13,1.52,2.12,1.93,2.9
Amateur Sport,0.19,0.68,0.19,0.6,0.01,0.22
Animals,0.0,0.03,0.04,0.02,,
Armed Forces/emergency Service Efficiency,0.01,0.05,0.01,0.06,0.01,0.13
Arts/culture/heritage/science,0.21,0.8,0.38,0.93,0.03,0.63
Children/young People,6.05,5.51,6.4,5.4,9.54,6.34
Disability,4.49,5.47,3.29,3.97,1.85,4.38
Economic/community Development/employment,1.29,2.69,2.32,2.68,0.41,2.46
Education/training,4.64,5.89,6.59,7.06,10.43,7.01
Elderly/old People,8.2,5.81,4.76,4.6,8.22,4.06
Environment/conservation/heritage,0.4,0.42,1.47,0.54,0.18,0.63
General Charitable Purposes,1.99,3.75,2.84,3.24,1.63,3.17
Human Rights/religious Or Racial Harmony/equality Or Diversity,0.46,0.53,0.22,0.58,0.12,0.49
Makes Grants To Individuals,0.25,0.8,1.2,1.23,0.19,1.25
Makes Grants To Organisations,1.08,1.02,1.95,1.84,1.01,2.01
Other Charitable Activities,0.61,1.55,0.97,1.62,1.39,1.65
Other Charitable Purposes,1.39,1.28,1.21,1.6,0.71,1.52
Other Charities Or Voluntary Bodies,1.24,2.25,2.71,2.63,1.02,2.77
Other Defined Groups,3.46,3.61,4.16,3.95,3.28,4.33
Overseas Aid/famine Relief,0.1,0.1,0.43,0.09,0.01,0.22
People Of A Particular Ethnic Or Racial Origin,0.6,1.4,1.04,1.47,0.55,1.21
People With Disabilities,8.25,7.14,6.06,5.83,9.53,6.39
Provides Advocacy/advice/information,6.63,7.98,6.93,7.45,4.44,7.99
Provides Buildings/facilities/open Space,4.57,4.5,3.57,4.23,2.12,3.44
Provides Human Resources,3.63,4.16,3.56,2.98,2.15,2.99
Provides Other Finance,0.33,0.21,0.68,0.45,1.06,0.58
Provides Services,12.7,10.09,9.6,9.37,11.97,8.62
Recreation,0.12,0.59,0.06,0.32,0.03,0.31
Religious Activities,0.16,0.3,0.87,0.26,0.01,0.18
Sponsors Or Undertakes Research,3.74,2.54,4.4,3.69,10.63,4.91
The Advancement Of Health Or Saving Of Lives,11.18,6.97,9.14,7.8,11.13,7.77
The General Public/mankind,8.0,4.75,7.22,6.48,3.29,5.49
The Prevention Or Relief Of Poverty,1.29,2.73,2.04,2.79,0.33,2.19
