icnpo,icnpo_group,count_ccg,amount_ccg,count_trust,amount_trust,count_eng,amount_eng
1100,Culture and sport,1.25,0.05,1.54,0.21,1.59,0.01
1200,Culture and sport,0.96,0.08,0.58,0.23,0.79,0.11
2100,Education,0.58,0.02,1.16,0.67,1.19,0.01
2120,Education,0.1,0.02,0.19,0.02,0.0,0.0
2200,Education,0.29,0.11,0.77,0.22,0.4,0.0
2300,Education,0.96,0.05,2.12,1.0,1.19,0.03
2400,Education,0.77,0.04,2.12,0.86,1.19,0.05
2410,Education,0.87,0.07,2.9,5.55,2.78,1.04
3100,Health,4.52,17.79,9.65,14.17,8.73,7.24
3200,Health,14.13,36.35,8.49,3.28,12.3,9.9
3210,Health,0.29,0.96,0.0,0.0,0.0,0.0
3300,Health,10.19,6.6,10.62,9.74,7.54,57.73
3400,Health,2.88,11.19,5.41,19.97,3.97,8.51
4100,Social Services,33.27,16.47,22.78,26.62,22.62,5.42
4110,Social Services,0.19,0.0,0.0,0.0,0.0,0.0
4150,Social Services,0.38,0.05,0.77,0.32,0.4,0.02
4160,Social Services,0.67,0.03,0.0,0.0,0.0,0.0
4170,Social Services,0.38,0.22,0.0,0.0,0.79,0.01
4180,Social Services,0.19,0.01,0.19,0.01,0.0,0.0
4200,Social Services,0.38,0.02,0.58,0.03,0.0,0.0
4300,Social Services,0.58,0.15,0.19,0.02,0.79,0.06
5100,Environment and animals,0.96,0.16,0.97,0.04,0.4,0.0
5200,Environment and animals,0.1,0.0,0.39,0.03,0.0,0.0
6100,"Community, employment and housing",3.46,0.44,2.51,2.74,2.78,0.93
6200,"Community, employment and housing",5.96,4.53,5.21,8.51,5.56,1.87
6300,"Community, employment and housing",1.15,0.07,2.12,0.53,1.59,0.24
7100,"Law, advocacy and politics",2.4,0.65,2.9,1.28,4.37,1.64
7200,"Law, advocacy and politics",2.5,0.66,3.28,1.66,1.98,3.64
8100,Philanthropy and volunteering,1.54,0.33,1.93,0.17,2.38,0.3
8200,Philanthropy and volunteering,5.67,1.75,4.63,0.68,6.75,0.23
10100,Religion,1.44,0.93,1.35,0.26,1.19,0.07
11100,Business and professional,0.1,0.0,1.35,0.43,0.79,0.01
11200,Business and professional,0.87,0.2,2.51,0.68,5.16,0.92
