verif_match,amount,count,regno,regdate,ICNPO,income,CC Rank
ST JOHN AMBULANCE,39595320,833,1077265,1999-09-02,3400,600100000.0,456
ANTHONY NOLAN,16712447,458,803716,1990-07-12,3400,293534000.0,1047
THE ANTHONY NOLAN BONE MARROW TRUST,14229326,385,803716,1990-07-12,3400,293534000.0,1048
NUFFIELD HEALTH,20806111,360,205533,1962-09-22,3100,4835600000.0,6
NUFFIELD HOSPITALS,17412931,236,205533,1962-09-22,3100,4835600000.0,5
PHOENIX HOUSE,18403882,222,284880,1982-07-19,6200,164287246.0,1925
NATIONAL BLOOD AUTHORITY,20883874,214,1061771,1997-04-10,3100,570123.0,65465
THE PRIORY,24355276,179,273022,1979-08-15,6100,5582131.0,19737
PHOENIX FUTURES,8221068,176,284880,1982-07-19,6200,164287246.0,1924
COBALT HEALTH,6577541,168,1090790,2002-02-26,6100,63517341.0,4941
